name,start,end,position,first,score
bl,00'30''857,00'31''957,br,1,0
fh,00'31''957,00'32''319,tl,0,0
bh,00'32''319,00'32''719,bl,0,0
fh ,00'32''719,00'34''674,tl,0,0
fh ,00'34''674,00'35''194,br,0,0
fh ,00'35''194,00'35''918,tl,0,1
bl,00'51''265,00'52''356,tr,1,0
bl,01'04''635,01'05''897,bl,1,0
fh,01'05''897,01'07''678,tr,0,1
bl,01'12''357,01'13''259,tl,1,0
bh ,01'13''259,01'15''200,br,0,0
fh ,01'15''200,01'25''798,tr,0,0
fh ,01'25''798,01'26''839,br,0,0
fh,01'26''839,01'27''559,tr,0,0
fh,01'27''559,01'28''078,br,0,0
bh ,01'28''078,01'28''475,tl,0,0
fh,01'28''475,01'30''079,bl,0,0
fh ,01'30''079,01'30''399,tl,0,0
fh ,01'30''399,01'30''917,br,0,0
fh ,01'30''917,01'31''399,tl,0,0
fh ,01'31''399,01'32''038,br,0,0
fh ,01'32''038,01'32''278,tr,0,0
fh ,01'32''278,01'32''678,br,0,0
fl,01'32''678,01'33''199,tr,0,0
bh,01'33''199,01'33''916,bl,0,0
bh,01'33''916,01'34''598,tl,0,0
fh,01'34''598,01'35''879,bl,0,0
bh,01'35''879,01'36''319,tr,0,0
bl ,01'36''319,01'36''919,bl,0,0
fl,01'36''919,01'37''396,tl,0,0
fh ,01'37''396,01'39''158,bl,0,0
bl,01'39''158,01'39''715,tl,0,0
fh ,01'39''715,01'40''119,bl,0,0
fl,01'40''119,01'40''759,tl,0,0
bl ,01'40''759,01'41''559,bl,0,0
fh ,01'41''559,01'42''960,tr,0,0
fl ,01'42''960,01'43''419,br,0,0
fh ,01'43''419,01'44''518,tl,0,0
bl ,01'44''518,01'45''476,bl,0,0
fh ,01'45''476,01'46''358,tr,0,0
fh ,01'46''358,01'47''359,br,0,1
bl,02'16''002,02'17''118,bl,1,0
fl ,02'17''118,02'17''438,tl,0,1
fh ,02'17''438,02'18''352,br,0,0
bl,02'36''557,02'37''873,tr,1,0
bl ,02'37''873,02'38''481,bl,0,0
fh ,02'38''481,02'39''639,tr,0,0
fh ,02'39''639,02'39''997,br,0,0
fh ,02'39''997,02'40''719,tl,0,1
bl,02'40''719,02'41''199,br,0,0
bl,02'58''330,02'59''440,tl,1,0
fh ,02'59''440,03'00''113,br,0,0
fh ,03'00''113,03'00''678,tr,0,0
fh,03'00''678,03'00''919,bl,0,1
fl,03'00''919,03'01''519,tr,0,0
bl,03''18''112,03'19''208,bl,1,1
bl,03'34''305,03'35''406,br,1,0
fh,03'35''406,03'35''769,tl,0,0
fl ,03'35''769,03'36''254,bl,0,0
fh,03'36''254,03'35''975,tl,0,0
fl ,03'35''975,03'36''254,bl,0,0
fl ,03'36''254,03'37''214,tl,0,0
fh,03'37''214,03'38''293,bl,0,0
fl ,03'38''293,03'38''936,tl,0,0
fh,03'38''936,03'39''374,bl,0,0
bl ,03'39''374,03'40''054,tl,0,1
bl ,03'40''054,03'41''295,bl,0,0
bl ,03'56''224,03'57''042,tr,1,0
fh ,03'57''042,03'57''655,bl,0,1
fh ,03'57''655,03'59''375,tl,0,0
bl ,04'14''307,04'15''405,bl,1,1
fl ,04'15''405,04'15''574,tr,0,0
bl ,04'27''360,04'28''519,br,1,0
bl ,04'28''519,04'28''815,tl,0,0
bl ,04'28''815,04'29''218,bl,0,0
fh ,04'29''218,04'29''454,tl,0,1
bl ,04'29''454,04'29''974,bl,0,0
bl ,04'46''558,04'47''669,tl,1,0
bl ,04'47''669,04'48''133,br,0,0
bh,04'48''133,04'49''215,tr,0,0
fh,04'49''215,04'50''015,br,0,0
fl,04'50''015,04'50''579,tr,0,0
bh ,04'50''579,04'51''056,bl,0,0
fl,04'51''056,04'51''734,tr,0,0
fh ,04'51''734,04'52''294,br,0,0
bh ,04'52''294,04'53''094,tl,0,0
fh,04'53''094,04'54''483,br,0,0
fl ,04'54''483,04'55''375,tr,0,0
fh ,04'55''375,04'56''254,br,0,0
fh ,04'56''254,04'56''854,tr,0,0
fl ,04'56''854,04'57''654,br,0,0
fh ,04'57''654,04'58''936,tl,0,0
fl ,04'58''936,04'59''930,bl,0,0
fh ,04'59''930,05'00''851,tl,0,0
bh ,05'00''851,05'01''415,bl,0,0
bh ,05'01''415,05'02''138,tr,0,1
bl ,05'25''663,05'26''734,tr,1,0
bl ,05'41''573,05'42''573,bl,1,0
fh ,05'42''573,05'42''814,tr,0,0
bh,05'42''814,05'43''374,br,0,0
fl ,05'43''374,05'43''333,tr,0,1
bl ,06'03''157,06'04''254,tl,1,0
fh ,06'04''254,06'04''694,br,0,1
bh,06'04''694,06'05''295,tr,0,0
bl ,06'19''255,06'20''495,br,1,0
fl ,06'20''495,06'20''858,tl,0,0
fh ,06'20''858,06'21''254,br,0,0
bl,06'21''254,06'21''815,tr,0,0
fh ,06'21''815,06'22''292,br,0,0
fh ,06'22''292,06'23''215,tr,0,0
fh ,06'23''215,06'23''255,br,0,0
fh ,06'23''255,06'23''775,tr,0,0
fl,06'23''775,06'24''255,br,0,0
fh ,06'24''255,06'25''124,tl,0,0
fh ,06'25''124,06'25''699,bl,0,0
fl ,06'25''699,06'26''614,tl,0,0
fh,06'26''614,06'27''615,br,0,0
fl ,06'27''615,06'28''064,tr,0,0
fh,06'28''064,06'28''535,br,0,0
bl ,06'28''535,06'29''294,tl,0,0
fh,06'29''294,06'29''974,bl,0,0
bl ,06'29''974,06'30''574,tr,0,1
bl ,06'52''760,06'53''809,tr,1,1
fl ,06'53''809,06'54''015,bl,0,0
bl ,07'10''569,07'11''895,tr,1,0
bl ,07'11''895,07'12''299,br,0,0
fl,07'12''299,07'13''175,tr,0,0
fl,07'13''175,07'13''516,br,0,0
fl,07'13''516,07'14''166,tl,0,0
fh,07'14''166,07'15''155,bl,0,0
fl,07'15''155,07'16''095,tl,0,0
fh,07'16''095,07'16''735,bl,0,0
fl,07'16''735,07'17''215,tl,0,0
fh,07'17''215,07'17''695,bl,0,0
fl,07'17''695,07'18''575,tl,0,0
fh,07'18''575,07'19''855,br,0,0
fh,07'19''855,07'20''494,tr,0,0
fh,07'20''494,07'21''215,br,0,0
fl,07'21''215,07'21''896,tl,0,0
bl ,07'21''896,07'22''869,bl,0,0
fh,07'22''869,07'24''561,tr,0,1
bl ,08'43''236,08'44''256,tr,1,0
fl ,08'44''256,08'46''855,bl,0,0
fh,08'46''855,08'47''375,tr,0,1
fh,08'47''375,08'47''615,bl,0,0
bl,09'03''157,09'04''537,tr,1,0
bl,09'20''638,09'21''841,br,1,0
fh,09'21''841,09'22''576,tr,0,1
bl,09''41''779,09'42''809,tl,1,1
fh,09'42''809,09'43''774,bl,0,0
bl,10'04''387,10'05''318,tr,1,0
fh,10'05''318,10'05''769,br,0,0
fh,10'05''769,10'06''329,tr,0,0
fh,10'06''329,10'07''375,br,0,0
fl ,10'07''375,10'07''816,tr,0,0
fh,10'07''816,10'08''460,br,0,0
fl,10'08''460,10'08''856,tl,0,0
fh,10'08''856,10'09''255,br,0,0
fl,10'09''255,10'09''815,tl,0,0
fh,10'09''815,10'10''416,bl,0,1
bl,10'30''227,10'31''481,bl,1,0
fl,10'31''481,10'31''935,tl,0,0
fl,10'31''935,10'32''336,br,0,0
bl,10'47''265,10'48''615,tr,1,0
fh,10'48''615,10'49''375,bl,0,0
fh,10'49''375,10'49''816,tr,0,1
