name,start,end,position,first,score
bl,03'59''281,04'00''389,br,1,0
bh,04'00''389,04'00''850,tl,0,0
bl,04'00''850,04'01''718,bl,0,0
fh,04'01''718,04'02''999,tr,0,0
fh,04'02''999,04'03''359,br,0,0
bh,04'03''359,04'04''159,tr,0,0
fh,04'04''159,04'04''799,br,0,0
bl,04'04''799,04'05''599,tl,0,0
fh,04'05''599,04'07''239,bl,0,0
bl,04'07''239,04'07''759,tl,0,0
fh,04'07''759,04'08''519,br,0,0
bl,04'08''519,04'08''918,tl,0,0
bh,04'08''918,04'10''086,bl,0,0
fh,04'10''086,04'11''319,tr,0,0
fh,04'11''319,04'11''676,br,0,0
fh,04'11''676,04'12''318,tl,0,0
bh,04'12''318,04'12''998,bl,0,0
fl,04'12''998,04'13''718,tl,0,0
fh,04'13''718,04'15''199,bl,0,0
fl,04'15''199,04'15''720,tr,0,0
fh,04'15''720,04'16''359,bl,0,0
bl,04'16''359,04'16''678,tl,0,0
fh,04'16''678,04'17''759,br,0,0
bh,04'17''759,04'18''238,tl,0,0
fl,04'18''238,04'18''998,bl,0,0
fh,04'18''998,04'20''839,tl,0,0
bl,04'20''839,04'21''599,bl,0,0
fh,04'21''599,04'23''038,tl,0,1
bl,04'23''038,04'23''479,bl,0,0
bl,04'45''832,04'46''919,tl,1,0
fh,04'46''919,04'47''398,bl,0,0
fh,04'47''398,04'47''879,tr,0,1
fh,04'47''879,04'48''199,bl,0,0
bl,05'01''885,05'02''957,tl,1,0
bh,05'02''957,05'03''518,br,0,0
bh,05'03''518,05'03''919,tr,0,0
bl,05'03''919,05'04''613,bl,0,0
fh,05'04''613,05'05''278,tl,0,0
fl,05'05''278,05'05''878,br,0,0
bh,05'05''878,05'07''078,tr,0,0
fh,05'07''078,05'07''920,br,0,0
bh,05'07''920,05'08''518,tr,0,0
bh,05'08''518,05'08''878,br,0,0
fh,05'08''878,05'09''678,tl,0,1
fl,05'09''678,05'10''598,br,0,0
bl,05'27''418,05'28''719,tr,1,1
fl,05'28''719,05'29''599,bl,0,0
bl,06'06''552,06'07''638,tl,1,1
bh,06'07''638,06'08''119,br,0,0
bl,06'19''323,06'20''359,tl,1,0
fh,06'20''359,06'20''838,bl,0,0
fh,06'20''838,06'21''318,tr,0,0
fh,06'21''318,06'21''598,br,0,0
fh,06'21''598,06'22''118,tl,0,0
bl,06'22''118,06'23''035,bl,0,0
fh,06'23''035,06'24''240,tr,0,0
bh,06'24''240,06'24''598,br,0,0
bh,06'24''598,06'25''238,tr,0,0
fl,06'25''238,06'25''638,br,0,0
fh,06'25''638,06'26''278,tl,0,1
bh,06'26''278,06'26''598,bl,0,0
bl,06'49''002,06'50''038,tl,1,0
bh,06'50''038,06'50''518,br,0,0
bh,06'50''518,06'51''159,tr,0,1
bl,06'51''159,06'51''958,bl,0,0
bl,07'06''010,07'07''038,tl,1,0
fh,07'07''038,07'07''398,bl,0,1
fl ,07'07''398,07'07''997,tl,0,0
bl,07'22''456,07'23''479,bl,1,0
fh,07'23''479,07'24''159,tr,0,0
fh,07'24''159,07'24''518,br,0,1
fh,07'24''518,07'25''038,tl,0,0
bl,07'38''256,07'39''479,bl,1,0
fh,07'39''479,07'40''038,tl,0,0
bl ,07'40''038,07'40''557,bl,0,0
fh,07'40''557,07'42''039,tr,0,0
fh,07'42''039,07'42''398,br,0,0
fh,07'42''398,07'43''078,tr,0,0
fh,07'43''078,07'43''398,br,0,0
bh,07'43''398,07'44''118,tr,0,0
bh,07'44''118,07'44''759,br,0,0
bh,07'44''759,07'45''399,tr,0,0
bh,07'45''399,07'46''319,bl,0,0
fl,07'46''319,07'47''160,tl,0,0
fh,07'47''160,07'48''758,bl,0,1
fl,07'48''758,07'49''678,tl,0,0
bl,08'09''312,08'10''318,bl,1,0
fh,08'10''318,08'10''878,tr,0,0
fh,08'10''878,08'11''440,br,0,0
bh,08'11''440,08'11''798,tr,0,0
bh,08'11''798,08'12''639,bl,0,0
bh,08'12''639,08'13''199,tr,0,0
fh,08'13''199,08'13''639,bl,0,0
fl,08'13''639,08'14''479,tl,0,1
fl,08'14''479,08'15''399,br,0,0
bl,08'31''884,08'32''958,tl,1,0
fh,08'32''958,08'33''558,br,0,0
bl,08'33''558,08'33''918,tr,0,0
fh,08'33''918,08'34''318,bl,0,0
fh,08'34''318,08'34''798,tl,0,0
bh,08'34''798,08'35''359,bl,0,0
fh,08'35''359,08'36''903,tl,0,1
