name,start,end,position,first,score
bl,01'36''546,01'37''838,tl,1,0
fh,01'37''838,01'38''278,br,0,0
bh,01'38''278,01'38''639,tl,0,0
bl,01'38''639,01'39''358,bl,0,0
fh,01'39''358,01'40''079,tl,0,0
fh,01'40''079,01'40''520,br,0,0
bh,01'40''520,01'40''910,tl,0,0
fh,01'40''910,01'41''399,bl,0,0
fl,01'41''399,01'41''999,tl,0,0
fh,01'41''999,01'42''918,br,0,0
bh,01'42''918,01'43''359,tr,0,0
fh,01'43''359,01'44''679,bl,0,0
fh,01'44''679,01'45''959,tr,0,0
bl,01'45''959,01'46''518,br,0,0
bh,01'46''518,01'47''238,tr,0,0
fh,01'47''238,01'47''760,br,0,0
fh,01'47''760,01'48''159,tl,0,0
bh,01'48''159,01'48''519,br,0,1
bh,01'48''519,01'49''359,tr,0,0
bl,02'07''067,02'08''159,bl,1,0
fh,02'08''159,02'08''559,tr,0,0
fh,02'08''559,02'09''005,br,0,1
fh,02'09''005,02'09''400,tl,0,0
bl,02'24''468,02'25''599,bl,1,0
fh,02'25''599,02'26''038,tl,0,0
bl,02'26''038,02'26''239,bl,0,0
fh,02'26''239,02'28''079,tr,0,1
fl,02'28''079,02'28''518,bl,0,0
bl,02'42''134,02'43''160,tr,1,0
fh,02'43''160,02'43''640,bl,0,0
fh,02'43''640,02'44''157,tl,0,0
fh,02'44''157,02'44''599,br,0,0
bl,02'44''599,02'45''319,tr,0,0
bh,02'45''319,02'45''960,br,0,0
fh,02'45''960,02'46''999,tl,0,1
bh,02'46''999,02'47''640,br,0,0
bl,03'00''267,03'01''358,tr,1,0
fh,03'01''358,03'01''679,br,0,0
fh,03'01''679,03'02''159,tr,0,0
fh,03'02''159,03'02''559,br,0,0
fh,03'02''559,03'03''038,tr,0,0
bl,03'03''038,03'03''358,br,0,0
fh,03'03''358,03'03''918,tr,0,1
bl,03'03''918,03'04''159,br,0,0
bl,03'21''085,03'22''179,tr,1,0
fh,03'22''179,03'22''659,bl,0,0
bl,03'22''659,03'23''379,tr,0,0
fh,03'23''379,03'24''938,bl,0,0
bl,03'24''938,03'25''338,tl,0,0
fh,03'25''338,03'25''939,bl,0,0
fl,03'25''939,03'26''418,tl,0,0
fh,03'26''418,03'27''099,bl,0,0
fh,03'27''099,03'27''538,tr,0,0
bh,03'27''538,03'28''338,br,0,0
fh,03'28''338,03'29''298,tr,0,0
fl,03'29''298,03'29''739,br,0,0
fh,03'29''739,03'30''459,tr,0,0
bl,03'30''459,03'30''819,bl,0,0
fh,03'30''819,03'31''539,tr,0,0
bl,03'31''539,03'31''860,br,0,0
bh,03'31''860,03'32''459,tr,0,0
bh,03'32''459,03'32''858,br,0,0
fh,03'32''858,03'33''500,tr,0,0
fl,03'33''500,03'33''978,br,0,1
bl,03'57''682,03'58''898,bl,1,0
fh,03'58''898,03'59''380,tr,0,0
bl,03'59''380,03'59''658,bl,0,0
fh,03'59''658,04'00''179,tl,0,1
bl,04'14''065,04'15''100,tr,1,0
bh,04'15''100,04'15''699,br,0,0
fl,04'15''699,04'16''498,tl,0,0
fh,04'16''498,04'18''098,br,0,1
bh,04'18''098,04'18''459,tl,0,0
bl,04'41''368,04'42''459,bl,1,0
fh,04'42''459,04'42''860,tl,0,0
bh,04'42''860,04'43''218,bl,0,0
fl,04'43''218,04'43''939,tl,0,0
fh,04'43''939,04'44''780,bl,0,0
fl,04'44''780,04'45''579,tl,0,0
fh,04'45''579,04'47''060,bl,0,0
bl,04'47''060,04'47''458,tl,0,0
fh,04'47''458,04'48''259,br,0,0
fh,04'48''259,04'48''620,tr,0,0
bh,04'48''620,04'49''540,br,0,0
bl,04'49''540,04'50''259,tr,0,0
fh,04'50''259,04'51''700,bl,0,0
fh,04'51''700,04'52''139,tl,0,0
fh,04'52''139,04'52''419,br,0,0
fh,04'52''419,04'52''860,tr,0,0
fh,04'52''860,04'53''259,bl,0,0
bh,04'53''259,04'53''939,tl,0,1
fh,04'53''939,04'54''418,bl,0,0
bl,05'14''268,05'15''338,tr,1,0
bh,05'15''338,05'15''778,bl,0,0
fh,05'15''778,05'16''298,tl,0,0
fh,05'16''298,05'17''498,br,0,0
fh,05'17''498,05'18''660,tr,0,0
fh,05'18''660,05'19''219,br,0,0
fh,05'19''219,05'19''819,tr,0,0
fh,05'19''819,05'20''098,br,0,0
fh,05'20''098,05'20''579,tr,0,0
bl,05'20''579,05'21''499,bl,0,0
fh,05'21''499,05'22''738,tr,0,0
fl,05'22''738,05'23''540,br,0,0
fh,05'23''540,05'25''139,tr,0,0
bh,05'25''139,05'25''618,br,0,0
fh,05'25''618,05'26''498,tr,0,0
fh,05'26''498,05'26''740,br,0,0
fh,05'26''740,05'27''079,tr,0,0
fh,05'27''079,05'27''419,br,0,0
fh,05'27''419,05'27''819,tr,0,0
fh,05'27''819,05'28''219,bl,0,1
bh,05'28''219,05'28''859,tr,0,0
bl,06'05''860,06'06''940,br,1,0
fh,06'06''940,06'07''378,tr,0,0
bh,06'07''378,06'07''739,br,0,0
fh,06'07''739,06'08''138,tr,0,1
bl,06'08''138,06'08''620,bl,0,0
bl,06'25''264,06'26''340,tr,1,0
fh,06'26''340,06'26''899,br,0,0
fh,06'26''899,06'27''540,tr,0,0
fh,06'27''540,06'27''898,br,0,0
fh,06'27''898,06'28''380,tr,0,0
fh,06'28''380,06'28''819,bl,0,0
bh,06'28''819,06'29''220,tr,0,0
fh,06'29''220,06'29''499,bl,0,1
fh,06'29''499,06'29''899,tl,0,0
bl,06'52''752,06'53''899,bl,1,0
fh,06'53''899,06'54''259,tl,0,0
fh,06'54''259,06'54''740,bl,0,0
fh,06'54''740,06'55''579,tl,0,0
fl,06'55''579,06'56''339,bl,0,0
fh,06'56''339,06'57''579,tr,0,0
bl,06'57''579,06'58''019,bl,0,0
fh,06'58''019,06'58''899,tl,0,0
bl,06'58''899,06'59''779,bl,0,0
fh,06'59''779,07'01''099,tr,0,0
bl,07'01''099,07'01''420,br,0,0
fh,07'01''420,07'02''059,tr,0,0
bl,07'02''059,07'02''460,br,0,0
fh,07'02''460,07'03''060,tr,0,0
fl,07'03''060,07'03''420,br,0,0
fh,07'03''420,07'04''180,tl,0,1
bl,07'04''180,07'04''459,bl,0,0
bl,07'31''538,07'32''620,tr,1,0
fh,07'32''620,07'33''140,bl,0,0
fh,07'33''140,07'33''419,tl,0,0
bh,07'33''419,07'33''860,bl,0,1
fh,07'33''860,07'34''141,tl,0,0
bl,07'52''267,07'53''379,br,1,0
fh,07'53''379,07'53''899,tr,0,1
fh,07'53''899,07'54''339,bl,0,0
bl,08'11''065,08'12''100,tr,1,0
fh,08'12''100,08'12''499,br,0,1
bl,08'30''764,08'31''865,bl,1,0
fh,08'31''865,08'32''339,tl,0,0
fh,08'32''339,08'32''619,br,0,0
fl,08'32''619,08'33''379,tr,0,0
fh,08'33''379,08'34''814,br,0,0
bh,08'34''814,08'35''179,tr,0,0
fh,08'35''179,08'35''899,br,0,0
bl,08'35''899,08'36''620,tr,0,0
fh,08'36''620,08'38''260,bl,0,1
fh,08'38''260,08'38''660,tl,0,0
bl,09'02''659,09'03''859,bl,1,0
fh,09'03''859,09'04''260,tr,0,0
fl,09'04''260,09'04''940,br,0,0
fh,09'04''940,09'06''660,tr,0,0
bl,09'06''660,09'07''179,br,0,0
fh,09'07''179,09'08''099,tl,0,0
bh,09'08''099,09'08''460,br,0,0
fh,09'08''460,09'09''179,tr,0,0
bh,09'09''179,09'09''459,br,0,0
fh,09'09''459,09'10''139,tr,0,0
bl,09'10''139,09'10''459,br,0,0
fh,09'10''459,09'11''100,tl,0,0
fh,09'11''100,09'11''499,br,0,1
fh,09'11''499,09'11''580,tl,0,0
bl,09'39''356,09'40''460,bl,1,1
fh,09'40''460,09'40''819,tl,0,0
bl,10'55''036,10'56''180,bl,1,0
fh,10'56''180,10'56''619,tr,0,0
bl,10'56''619,10'57''059,br,0,0
fh,10'57''059,10'57''819,tl,0,0
fl,10'57''819,10'58''261,bl,0,0
fh,10'58''261,10'59''419,tl,0,1
bl,11'13''267,11'14''380,tr,1,0
fh,11'14''380,11'14''860,bl,0,0
fh,11'14''860,11'15''339,tl,0,0
bh,11'15''339,11'16''299,br,0,0
fh,11'16''299,11'17''620,tr,0,0
fl,11'17''620,11'18''100,br,0,0
fh,11'18''100,11'18''900,tr,0,0
fl,11'18''900,11'19''700,br,0,0
fh,11'19''700,11'20''938,tl,0,1
bh,11'20''938,11'21''259,bl,0,0
bl,11'47''467,11'48''419,tr,1,0
fh,11'48''419,11'48''861,br,0,0
bh,11'48''861,11'49''220,tr,0,0
fl,11'49''220,11'49''860,bl,0,0
fl,11'49''860,11'50''659,tl,0,0
fh,11'50''659,11'51''539,br,0,0
bl,11'51''539,11'51''899,tr,0,0
fl,11'51''899,11'53''180,bl,0,0
fh,11'53''180,11'54''740,tl,0,0
bh,11'54''740,11'55''139,br,0,0
bh,11'55''139,11'55''860,tr,0,0
fh,11'55''860,11'56''179,br,0,0
fh,11'56''179,11'56''699,tr,0,1
bl,12'17''659,12'18''779,tr,1,0
fh,12'18''779,12'19''780,bl,0,0
fh,12'19''780,12'20''220,tl,0,0
fh,12'20''220,12'20''740,bl,0,0
fh,12'20''740,12'21''179,tl,0,0
fl,12'21''179,12'21''979,br,0,0
fh,12'21''979,12'22''780,tr,0,0
fh,12'22''780,12'23''099,br,0,0
bl,12'23''099,12'23''859,tr,0,0
bl,12'23''859,12'24''500,bl,0,0
fh,12'24''500,12'24''899,tr,0,1
bl,12'49''067,12'50''179,tr,1,0
fh,12'50''179,12'50''499,br,0,0
bl,12'50''499,12'51''099,tr,0,0
fh,12'51''099,12'51''620,br,0,0
bh,12'51''620,12'52''019,tr,0,0
fh,12'52''019,12'52''779,br,0,0
fh,12'52''779,12'53''180,tl,0,1
fl,12'53''180,12'53''499,bl,0,0
bl,13'11''546,13'12''791,tr,1,0
fh,13'12''791,13'13''550,bl,0,0
fl,13'13''550,13'14''391,tl,0,0
fh,13'14''391,13'15''992,br,0,0
fl,13'15''992,13'16''552,tl,0,1
fh,13'16''552,13'17''431,bl,0,0
bl,13'44''637,13'45''870,tr,1,0
fh,13'45''870,13'46''310,br,0,1
fh,13'46''310,13'46''790,tr,0,0
bl,14'05''647,14'06''776,br,1,0
bl,14'27''138,14'28''270,tr,1,0
fh,14'28''270,14'29''270,bl,0,0
bh,14'29''270,14'29''670,tl,0,0
fl,14'29''670,14'30''470,bl,0,0
fh,14'30''470,14'31''271,tl,0,0
bl,14'31''271,14'31''630,bl,0,0
fh,14'31''630,14'32''071,tl,0,0
fl,14'32''071,14'32''671,bl,0,0
fh,14'32''671,14'33''630,tl,0,0
fl,14'33''630,14'34''431,bl,0,0
fh,14'34''431,14'35''430,tr,0,0
bl,14'35''430,14'35''751,br,0,0
fh,14'35''751,14'36''706,tr,0,0
bl,14'36''706,14'37''310,br,0,0
fh,14'37''310,14'39''110,tl,0,0
bl,14'39''110,14'39''750,bl,0,0
fl,14'39''750,14'40''550,tl,0,0
fh,14'40''550,14'41''270,br,0,0
bh,14'41''270,14'41''710,tr,0,0
fh,14'41''710,14'42''151,br,0,0
bl,14'42''151,14'42''731,tr,0,0
fh,14'42''731,14'42''950,br,0,1
fl,14'42''950,14'43''151,tr,0,0
bl,15'16''683,15'17''870,bl,1,1
fh,15'17''870,15'18''351,tr,0,0
fh,15'39''346,15'40''510,bl,1,0
fh,15'40''510,15'40''871,tl,0,0
fl,15'40''871,15'41''511,bl,0,0
fh,15'41''511,15'42''910,tr,0,0
bh,15'42''910,15'43''310,br,0,0
fh,15'43''310,15'43''710,tr,0,0
fh,15'43''710,15'44''030,br,0,0
fh,15'44''030,15'44''710,tl,0,0
fh,15'44''710,15'45''471,br,0,0
fh,15'45''471,15'45''750,tl,0,0
fh,15'45''750,15'46''110,br,0,0
bh,15'46''110,15'46''551,tr,0,0
fh,15'46''551,15'47''031,bl,0,0
fh,15'47''031,15'47''511,tl,0,1
fl,15'47''511,15'48''311,bl,0,0
bl,16'10''267,16'11''350,tr,1,0
fh,16'11''350,16'11''790,br,0,0
