name,start,end,position,score
serve,00'05",00'06",bl,0
dig,00'06",00'07",tr,0
dig,00'07",00'08",br,0
spike,00'09",00'10",tr,1
block,00'09",00'10",tl,0
dig,00'27",00'28",tl,0
spike,00'28",00'29",tr,1
serve,00'45",00'46",br,0
dig,00'46",00'47",tl,0
pass,00'47",00'48",bl,0
spike,00'49",00'50",tl,0
block,00'49",00'50",tr,0
serve,01'06",01'07",br,0
dig,01'07",01'08",tl,0
pass,01'09",01'10",bl,0
spike,01'10",01'11",tl,1
block,01'10",01'11",tr,0
serve,02'01",02'02",bl,0
dig,02'02",02'03",tr,0
dig,02'03",02'04",br,0
spike,02'05",02'06",tr,1
block,02'05",02'06",bl,0
serve,02'24",02'25",tr,0
dig,02'25",02'26",tl,0
pass,02'26",02'27",bl,0
spike,02'28",02'29",tl,1
block,02'28",02'29",tr,0
serve,02'46",02'47",bl,0
dig,02'47",02'48",tr,0
dig,02'48",02'49",br,0
spike,02'49",02'50",tr,0
block,02'49",02'50",tl,0
dig,02'50",02'51",bl,1
serve,03'30",03'31",tr,0
dig,03'31",03'32",bl,0
dig,03'32",03'33",tl,0
spike,03'34",03'35",bl,1
block,03'34",03'35",br,0
serve,03'55",03'56",tl,0
dig,03'56",03'57",br,0
pass,03'57",03'58",tr,0
spike,03'59",04'00",br,0
block,03'59",04'00",bl,0
dig,03'59",04'00",bl,0
dig,04'01",04'02",tl,0
spike,04'02",04'03",tl,0
block,04'02",04'03",br,0
dig,04'03",04'04",tl,0
dig,04'04",04'05",tl,0
spike,04'05",04'06",bl,0
block,04'05",04'06",br,0
dig,04'06",04'07",tr,0
pass,04'07",04'08",br,0
spike,04'09",04'10",tr,1
block,04'09",04'10",tl,0
serve,04'44",04'45",br,0
dig,04'45",04'46",bl,0
dig,04'46",04'47",tl,0
spike,04'47",04'48",bl,0
block,04'47",04'48",br,1
dig,06'25",06'26",bl,0
dig,06'26",06'27",tl,0
spike,06'28",06'29",tl,1
block,06'28",06'29",tr,0
serve,06'46",06'47",tl,0
dig,06'47",06'48",br,0
dig,06'48",06'49",tr,0
spike,06'50",06'51",br,1
block,06'50",06'51",bl,0
serve,07'10",07'11",tr,0
dig,07'11",07'12",tl,0
dig,07'12",07'13",bl,0
spike,07'13",07'14",tl,1
block,07'13",07'14",tr,0
dig,07'32",07'33",br,0
pass,07'33",07'34",tr,0
spike,07'35",07'36",br,1
block,07'35",07'36",bl,0
dig,07'37",07'38",bl,0
serve,08'12",08'13",bl,0
dig,08'13",08'14",tr,0
dig,08'15",08'16",br,0
spike,08'16",08'17",tr,1
block,08'16",08'17",tl,0
serve,08'37",08'38",tl,0
dig,08'38",08'39",tl,0
pass,08'39",08'40",bl,0
spike,08'40",08'41",tl,1
block,08'40",08'41",tr,0
serve,09'03",09'04",bl,0
dig,09'04",09'05",tr,0
spike,09'05",09'06",br,0
dig,09'06",09'07",bl,0
dig,09'09",09'10",bl,0
spike,09'11",09'12",tl,0
block,09'11",09'12",br,0
dig,09'11",09'12",br,0
dig,09'13",09'14",tr,0
spike,09'15",09'16",br,1
block,09'15",09'16",bl,0
serve,09'44",09'45",br,0
dig,09'45",09'46",tl,0
pass,09'46",09'47",bl,0
spike,09'48",09'49",tl,0
block,09'48",09'49",tr,1
serve,10'06",10'07",tr,0
dig,10'08",10'09",tl,0
spike,10'09",10'10",bl,1
block,10'09",10'10",tr,0
serve,10'43",10'44",tl,0
dig,10'44",10'45",tr,0
spike,10'45",10'46",tr,1
block,10'45",10'46",tl,0
serve,11'02",11'03",tr,0
dig,11'04",11'05",tl,0
