name,start,end,position,score,start_frame,end_frame,num_frames,next_x1,next_y1,next_x2,next_y2,target_x,target_y,pose,height,target_distance,pdistance,pspeed,bspeed,grade,etc
serve,00'05",00'07",tr,0,,,,,,,,,,,,,,,,,
dig,00'08",00'09",bl,0,,,,,,,,,,,,,,,,,
pass,00'09",00'10",br,0,,,,,,,,,,,,,,,,,
block,00'10",00'11",tl,0,,,,,,,,,,,,,,,,,
spike,00'10",00'11",bl,0,,,,,,,,,,,,,,,,,
dig,00'12",00'13",tr,0,,,,,,,,,,,,,,,,,
pass,00'13",00'14",tl,0,,,,,,,,,,,,,,,,,
block,00'14",00'15",br,0,,,,,,,,,,,,,,,,,
spike,00'14",00'15",tr,1,,,,,,,,,,,,,,,,,
serve,00'33",00'35",tr,0,,,,,,,,,,,,,,,,,
dig,00'36",00'37",bl,0,,,,,,,,,,,,,,,,,
pass,00'37",00'38",br,0,,,,,,,,,,,,,,,,,
spike,00'39",00'40",bl,0,,,,,,,,,,,,,,,,,
block,00'39",00'40",tl,0,,,,,,,,,,,,,,,,,
dig,00'39",00'40",tr,0,,,,,,,,,,,,,,,,,
pass,00'41",00'42",tl,0,,,,,,,,,,,,,,,,,
block,00'42",00'43",br,0,,,,,,,,,,,,,,,,,
spike,00'42",00'43",tr,1,,,,,,,,,,,,,,,,,
serve,01'01",01'03",tr,0,,,,,,,,,,,,,,,,,
dig,01'04",01'05",bl,0,,,,,,,,,,,,,,,,,
pass,01'05",01'06",br,0,,,,,,,,,,,,,,,,,
block,01'06",01'07",tl,0,,,,,,,,,,,,,,,,,
spike,01'06",01'07",bl,1,,,,,,,,,,,,,,,,,
serve,01'24",01'26",bl,1,,,,,,,,,,,,,,,,,
serve,01'44",01'45",bl,0,,,,,,,,,,,,,,,,,
dig,01'45",01'46",tl,0,,,,,,,,,,,,,,,,,
pass,01'46",01'47",tr,0,,,,,,,,,,,,,,,,,
spike,01'49",01'50,tl,1,,,,,,,,,,,,,,,,,
serve,02'09",02'10",tl,0,,,,,,,,,,,,,,,,,
dig,02'11",02'12",bl,0,,,,,,,,,,,,,,,,,
pass,02'13",02'14",br,0,,,,,,,,,,,,,,,,,
block,02'15",02'16",tl,0,,,,,,,,,,,,,,,,,
spike,02'15",02'16",bl,0,,,,,,,,,,,,,,,,,
serve,02'34",02'36",tl,0,,,,,,,,,,,,,,,,,
dig,02'36",02'37",bl,0,,,,,,,,,,,,,,,,,
pass,02'37",02'38",br,0,,,,,,,,,,,,,,,,,
block,02'39",02'40",tl,0,,,,,,,,,,,,,,,,,
spike,02'39",02'40",bl,1,,,,,,,,,,,,,,,,,
serve,03'10",03'11",tl,1,,,,,,,,,,,,,,,,,
serve,03'31",03'33",tl,0,,,,,,,,,,,,,,,,,
serve,03'48",03'49",bl,0,,,,,,,,,,,,,,,,,
dig,03'49",03'50",tr,0,,,,,,,,,,,,,,,,,
pass,03'51",03'52",tl,0,,,,,,,,,,,,,,,,,
block,03'53",03'54",br,0,,,,,,,,,,,,,,,,,
spike,03'53",03'54",tr,1,,,,,,,,,,,,,,,,,
serve,04'11",04'12",tl,0,,,,,,,,,,,,,,,,,
dig,04'13",04'14",br,0,,,,,,,,,,,,,,,,,
pass,04'14",04'15",bl,0,,,,,,,,,,,,,,,,,
block,04'15",04'16",tr,1,,,,,,,,,,,,,,,,,
spike,04'15",04'16",br,0,,,,,,,,,,,,,,,,,
serve,04'35",04'36",tl,0,,,,,,,,,,,,,,,,,
dig,04'36",04'37",br,0,,,,,,,,,,,,,,,,,
block,04'38",04'39",tr,1,,,,,,,,,,,,,,,,,
serve,04'57",04'59",tl,0,,,,,,,,,,,,,,,,,
dig,05'00",05'01",br,0,,,,,,,,,,,,,,,,,
pass,05'02",05'03",bl,0,,,,,,,,,,,,,,,,,
block,05'03",05'04",tr,1,,,,,,,,,,,,,,,,,
spike,05'03",05'04",br,0,,,,,,,,,,,,,,,,,
serve,05'26",05'27",br,0,,,,,,,,,,,,,,,,,
serve,05'58",05'59",br,0,,,,,,,,,,,,,,,,,
dig,05'59",06'00",tr,0,,,,,,,,,,,,,,,,,
