name,start,end,position,score,num_frames,start_frame,end_frame,next_x1,next_y1,next_x2,next_y2,target_x,target_y,target_distance,pose,height,etc,pdistance,pspeed,bspeed,grade
serve,00'16",00'17",bl,0,,510,537,1081,483,1087,482,1145,484,,,,,,,,
dig,00'18",00'19",tr,0,,537,586,830,472,771,514,830,525,,0.1,,,,,,
dig,00'19",00'20",tl,0,,586,629,1231,480,1308,521,1361,547,,0.05,,,,,,
spike,00'20",00'21",tr,0,,629,649,737,743,1107,789,1402,954,,,,out/0,,,,
block,00'20",00'21",br,0,,627,630,1250,624,1240,605,,,,,70,,,,,
serve,00'35",00'36",tr,0,,1068,1104,731,796,641,781,555,779,,,,,,,,
dig,00'36",00'37",bl,0,,1105,1141,1130,774,880,669,843,686,,0.25,,,,,,
dig,00'37",00'38",br,0,,1142,1190,425,716,570,571,581,647,,0.05,,,,,,
spike,00'38",00'39",bl,1,,1194,1229,1118,484,962,455,758,492,,,,,,,,
block,00'38",00'39",tl,0,,1184,1190,635,590,633,563,,,,,75,,,,,
serve,01'00",01'01",br,0,,1842,1873,828,475,875,475,818,473,,,,,,,,
dig,01'01",01'02",tl,0,,1873,1921,1136,482,899,526,921,538,,0.06,,,,,,
pass,01'03",01'04",tr,0,,1926,1970,809,482,651,517,568,563,,,,,,,,
spike,01'05",01'06",tl,1,,1971,1988,1127,768,775,802,1380,750,,,,,,,,
block,01'05",01'06",bl,0,,1967,1971,657,622,662,584,,,,,70,,,,,
serve,01'21",01'22",tr,0,,2459,2489,720,793,622,779,530,770,,,,,,,,
dig,01'22",01'23",bl,0,,2489,2535,1058,783,821,671,771,689,,0.07,,,,,,
dig,01'24",01'25",br,0,,2536,2583,279,732,551,585,561,671,,0.08,,,,,,
spike,01'25",01'26",bl,0,,2583,2598,1037,488,1035,491,1097,497,,,,,,,,
block,01'25",01'26",tl,0,,2583,2585,603,587,602,577,,,,,64,,,,,
dig,01'26",01'27",tr,0,,2598,2650,613,547,638,564,670,565,,0.36,,,,,,
dig,01'28",01'29",tl,0,,2650,2695,916,482,874,508,913,512,,0.23,,,,,,
spike,01'29",01'30",tr,1,,2696,2706,764,657,724,717,553,779,,,,,,,,
pass,01'30",01'31",bl,0,,2706,2748,1015,782,955,778,565,1073,,,,out/0,,,,
serve,01'47",01'48",tl,0,,3243,3278,711,796,780,803,753,808,,,,,,,,
dig,01'48",01'49",bl,0,,3278,3318,1154,773,970,609,965,701,,0.02,,,,,,
spike,01'49",01'50",br,0,,3318,3338,961,465,802,471,639,470,,,,,,,,
block,01'49",01'50",tl,0,,3318,3324,820,565,806,565,,,,,58,,,,,
dig,01'50",01'51",tl,0,,3338,3385,778,572,620,498,520,458,,0.75,,,,,,
dig,01'51",01'52",tl,0,,3385,3427,742,470,668,439,673,446,,0.5,,,,,,
dig,01'54",01'55",tr,0,,3428,3479,695,697,992,768,1098,782,,0.06,,,,,,
dig,01'55",01'56",bl,0,,3479,3531,1168,809,1223,758,1160,767,,0.06,,,,,,
dig,01'57",01'58",br,0,,3531,3577,890,790,849,598,706,650,,0.09,,,,,,
spike,01'58",01'59",bl,1,,3577,3590,1010,473,1159,494,1230,487,,,,,,,,
block,01'58",01'59",tl,0,,3574,3578,858,592,870,585,,,,,65,,,,,
dig,01'59",02'00",tr,0,,3590,3649,924,583,1134,559,1667,508,,0.3,,out/0,,,,
serve,02'20",02'21",bl,0,,4251,4291,1074,475,1119,474,1193,400,,,,out/0,,,,
serve,02'34",02'35",tr,0,,4669,4699,737,787,760,781,633,781,,,,,,,,
dig,02'35",02'36",bl,0,,4699,4748,1131,781,1192,768,1131,765,,0.26,,,,,,
dig,02'37",02'38",br,0,,4748,4797,596,771,617,614,512,697,,0.06,,,,,,
spike,02'39",02'40",bl,0,,4797,4825,852,456,770,467,1296,409,,,,,,,,
block,02'39",02'40",tr,0,,4797,4801,776,588,782,570,,,,,66,,,,,
serve,03'05",03'06",bl,1,,5578,5621,1075,476,1153,494,1179,542,,,,,,,,
serve,03'20",03'21",bl,0,,6034,6061,1093,485,1144,484,1169,493,,,,,,,,
dig,03'21",03'22",tr,0,,6061,6114,820,482,1326,503,1362,528,,0.09,,,,,,
dig,03'22",03'23",tl,0,,6114,6166,1485,490,1369,513,1368,567,,0.05,,,,,,
spike,03'24",03'25",tl,0,,6167,6192,869,769,849,763,605,592,,,,out/0,,,,
block,03'24",03'25",br,1,,6167,6173,1326,624,1313,581,,,,,70,,,,,
serve,03'39",03'41",bl,0,,6645,6682,1078,484,1055,472,1035,636,,,,Î´¹ıÍø/0,,,,
serve,03'57",03'58",tl,0,,7149,7187,678,787,720,773,722,776,,,,,,,,
dig,03'59",04'00",bl,0,,7187,7232,1006,795,958,655,973,665,,0.15,,,,,,
pass,04'00",04'01",br,0,,7233,7278,519,720,541,579,485,661,,,,,,,,
spike,04'02",04'03",bl,1,,7278,7288,877,469,1020,493,586,476,,,,,,,,
block,04'02",04'03",tl,0,,7273,7278,679,593,676,552,,,,,66,,,,,
serve,04'19",04'20",br,0,,,,,,,,,,,,,,,,,
dig,04'21",04'22",tr,0,,,,,,,,,,,,,,,,,
dig,04'22",04'23",tr,0,,,,,,,,,,,,,,,,,
spike,04'23",04'24",tl,1,,,,,,,,,,,,,,,,,
block,04'23",04'24",bl,0,,,,,,,,,,,,,,,,,
serve,04'42",04'43",tr,0,,,,,,,,,,,,,,,,,
dig,04'43",04'44",br,0,,,,,,,,,,,,,,,,,
dig,04'44",04'45",br,0,,,,,,,,,,,,,,,,,
spike,04'45",04'46",bl,1,,,,,,,,,,,,,,,,,
block,04'45",04'46",tr,0,,,,,,,,,,,,,,,,,
serve,05'01",05'02",bl,0,,,,,,,,,,,,,,,,,
dig,05'02",05'03",tr,0,,,,,,,,,,,,,,,,,
dig,05'03",05'04",tl,0,,,,,,,,,,,,,,,,,
spike,05'04",05'05",tr,1,,,,,,,,,,,,,,,,,
block,05'04",05'05",br,0,,,,,,,,,,,,,,,,,
serve,05'45",05'46",br,1,,,,,,,,,,,,,,,,,
dig,05'47",05'48",tl,0,,,,,,,,,,,,,,,,,
dig,05'48",05'49",tr,0,,,,,,,,,,,,,,,,,
serve,06'08",06'09",br,0,,,,,,,,,,,,,,,,,
dig,06'10",06'11",tr,0,,,,,,,,,,,,,,,,,
dig,06'12",06'13",tr,0,,,,,,,,,,,,,,,,,
spike,06'13",06'14",tl,1,,,,,,,,,,,,,,,,,
block,06'13",06'14",bl,0,,,,,,,,,,,,,,,,,
serve,06'30",06'31",tl,0,,,,,,,,,,,,,,,,,
dig,06'32",06'33",bl,0,,,,,,,,,,,,,,,,,
dig,06'33",06'34",br,0,,,,,,,,,,,,,,,,,
spike,06'35",06'36",bl,1,,,,,,,,,,,,,,,,,
block,06'35",06'36",tl,0,,,,,,,,,,,,,,,,,
serve,06'53",06'54",bl,0,,,,,,,,,,,,,,,,,
dig,06'55",06'56",tl,0,,,,,,,,,,,,,,,,,
pass,06'56",06'57",tr,0,,,,,,,,,,,,,,,,,
spike,06'57",06'58",tl,0,,,,,,,,,,,,,,,,,
block,06'57",06'58",bl,0,,,,,,,,,,,,,,,,,
dig,06'59",07'00",tl,0,,,,,,,,,,,,,,,,,
spike,07'00",07'01",tr,1,,,,,,,,,,,,,,,,,
block,07'00",07'01",bl,0,,,,,,,,,,,,,,,,,
serve,07'18",07'20",tr,0,,,,,,,,,,,,,,,,,
dig,07'21",07'22",bl,0,,,,,,,,,,,,,,,,,
dig,07'22",07'23",br,0,,,,,,,,,,,,,,,,,
spike,07'23",07'24",bl,0,,,,,,,,,,,,,,,,,
block,07'23",07'24",tl,1,,,,,,,,,,,,,,,,,
serve,07'40",07'41",tr,0,,,,,,,,,,,,,,,,,
dig,07'41",07'42",bl,0,,,,,,,,,,,,,,,,,
dig,07'43",07'44",br,0,,,,,,,,,,,,,,,,,
spike,07'44",07'45",bl,1,,,,,,,,,,,,,,,,,
block,07'44",07'45",tr,0,,,,,,,,,,,,,,,,,
serve,08'06",08'07",br,0,,,,,,,,,,,,,,,,,
dig,08'07",08'08",tr,0,,,,,,,,,,,,,,,,,
spike,08'08",08'09",tl,1,,,,,,,,,,,,,,,,,
block,08'08",08'09",br,0,,,,,,,,,,,,,,,,,
pass,08'10",08'11",bl,0,,,,,,,,,,,,,,,,,
serve,09'34",09'35",tl,0,,,,,,,,,,,,,,,,,
dig,09'35",09'36",bl,0,,,,,,,,,,,,,,,,,
dig,09'36",09'37",br,0,,,,,,,,,,,,,,,,,
spike,09'37",09'38",bl,1,,,,,,,,,,,,,,,,,
block,09'37",09'38",tl,0,,,,,,,,,,,,,,,,,
serve,09'58",10'00",br,0,,,,,,,,,,,,,,,,,
dig,10'01",10'02",tr,0,,,,,,,,,,,,,,,,,
dig,10'02",10'03",tl,0,,,,,,,,,,,,,,,,,
spike,10'03",10'04",tr,0,,,,,,,,,,,,,,,,,
block,10'03",10'04",bl,0,,,,,,,,,,,,,,,,,
serve,10'21",10'22",bl,0,,,,,,,,,,,,,,,,,
dig,10'23",10'24",tr,0,,,,,,,,,,,,,,,,,
dig,10'25",10'26",tr,0,,,,,,,,,,,,,,,,,
spike,10'26",10'27",tl,0,,,,,,,,,,,,,,,,,
dig,10'27",10'28",br,0,,,,,,,,,,,,,,,,,
pass,10'29",10'30",bl,0,,,,,,,,,,,,,,,,,
spike,10'30",10'31",br,1,,,,,,,,,,,,,,,,,
