serve,00'50",00'51",br,0
dig,00'51",00'52",tr,0
dig,00'52",00'53",tl,0
spike,00'53",00'55",tr,0
block,00'53",00'55",br,0
spike,00'55",00'56",br,1
block,00'55",00'56",tr,0
serve,01'11",01'12",br,0
dig,01'12",01'13",tr,0
spike,01'13",01'15",tl,0
block,01'13",01'15",br,0
serve,01'28",01'29",br,0
dig,01'29",01'30",tl,0
dig,01'30",01'32",tr,0
spike,01'32",01'34",tl,1
block,01'32",01'34",bl,0
serve,01'53",01'54",tr,0
dig,01'54",01'55",bl,0
pass,01'55",01'56",br,0
spike,01'56",01'58",bl,0
block,01'56",01'58",tl,1
serve,02'16",02'17",tr,0
dig,02'17",02'18",bl,0
pass,02'18",02'20",br,0
spike,02'20",02'22",bl,0
block,02'20",02'22",tl,0
dig,02'22",02'23",tr,0
serve,03'37",03'38",tl,0
dig,03'38",03'39",bl,0
dig,03'39",03'41",br,0
spike,03'41",03'43",bl,0
block,03'41",03'43",tl,0
dig,03'43",03'44",tr,0
dig,03'44",03'45",br,0
dig,03'45",03'47",bl,0
spike,03'47",03'48",br,1
block,03'47",03'48",tr,0
serve,04'10",04'11",br,0
dig,04'11",04'12",tr,0
pass,04'12",04'13",tl,0
spike,04'13",04'15",tr,1
block,04'13",04'15",br,0
serve,04'33",04'34",tr,0
dig,04'34",04'35",bl,0
dig,04'35",04'36",br,0
spike,04'36",04'38",bl,0
block,04'36",04'38",tl,0
dig,04'38",04'39",tr,0
dig,04'39",04'40",tl,0
spike,04'40",04'42",tl,0
block,04'40",04'42",bl,0
serve,05'02",05'03",br,0
dig,05'03",05'04",tr,0
dig,05'04",05'05",tl,0
spike,05'05",05'07",tr,1
block,05'05",05'07",br,0
serve,05'24",05'25",tl,0
dig,05'25",05'26",br,0
dig,05'26",05'27",bl,0
spike,05'27",05'29",br,1
block,05'27",05'29",tr,0
serve,05'48",05'49",br,1
serve,06'03",06'04",tr,0
dig,06'04",06'05",bl,0
serve,06'30",06'31",bl,0
dig,06'31",06'32",tr,0
dig,06'32",06'34",tr,0
spike,06'34",06'36",tl,0
block,06'34",06'36",br,0
serve,06'54",06'55",bl,0
dig,06'55",06'56",tr,0
dig,06'56",06'58",tl,0
spike,06'58",07'00",tr,1
block,06'58",07'00",br,0
serve,07'16",7'17",tr,0
dig,07'17",7'18",bl,0
