name,staet,end,position,score
serve,1'45",1'46",bl,0
dig,1'46",1'47",tr,0
pass,1'47",1'48",tl,0
spike,1'49",1'50",tr,0
block,1'50",1'51",br,0
serve,2'07",2'08",tl,0
dig,2'08",2'09",bl,0
pass,2'09",2'10",br,0
spike,2'10",2'11¡±,bl,0
block,2'11",2'12",tl,0
serve,2'26",2'27",br,0
serve,2'43",2'44"",tl,0
dig,2'44",2'45",bl,0
pass,2'45",2'46",br,0
spike,2'46",2'47",bl,0
block,2'47",2'48",tl,0
dig,2'48",2'49",bl,0
pass,2'49",2'50",br,0
spike,2'50",2'51",bl,0
block,2'51",2'52",tl,0
dig,2'52",2'53",br,0
pass,2'53",2'54",bl,0
spike,2'54",2'55",br,0
block,2'55",2'56",tr,0
pass,2'56",2'57",br,0
spike,2'57",2'58",bl,0
block,2'58",2'59",tl,0
dig,2'59",3'00",bl,0
dig,3'00",3'01",br,0
spike,3'01",3'02",bl,0
dig,3'02",3'03",tl,0
pass,3'03",3'04",tr,0
spike,3'04",3'05",tl,0
serve,3'45",3'46",tl,0
dig,3'46",3'47¡¯,bl,0
pass,3'47",3¡®48',br,0
spike,3'48",3'49",bl,0
dig,3'49",3'50",tr,0
serve,4'10",4'11",bl,0
dig,4'11",4'12",tr,0
pass,4'12",4'13",tl,0
spike,4'13",4'14",tr,0
block,4'14",4'15",bl,0
serve,4'34",4'35",bl,0
dig,4'35",4'36",tr,0
pass,4'36",4'37",tl,0
spike,4'37",4'38",tr,0
dig,4'38",4'39",br,0
pass,4'39",4'40",bl,0
spike,4'40",4'41",br,0
serve,5'13",5'14",br,0
dig,5'14",5'15",tl,0
pass,5'15",5'16",tr,0
spike,5'16",5'17",tl,0
block,5'17",5'18",bl,0
dig,5'18",5'19",br,0
dig,5'19",5'20",tr,0
pass,5'20",5'21",tl,0
spike,5'21",5'22",tr,0
serve,5'43",5'44",tl,0
dig,5'44",5'45",bl,0
dig,5'45",5'46",br,0
spike,5'46",5'47",bl,0
block,5'47",5'48",tr,0
serve,6'10",6'11"',bl,0
dig,6'11",6'12",tr,0
dig,6'12",6'13",tl,0
spike,6'13",6'14",tr,0
block,6'14",6'15",bl,0
serve,6'35",6'36",tr,0
dig,6'36",6'37",br,0
pass,6'37",6'38",bl,0
spike,6'38",6'39",br,0
block,6'39",6'40",tl,0
dig,6'40",6'41",tr,0
dig,6'41"',6'43",tl,0
spike,6'42",6'44",tr,0
dig,6'43",6'45",bl,0
dig,6'44",6'46,br,0
serve,7'10",7'11",tr,0
dig,7'11",7'12",br,0
spike,7'12",7'13",bl,0
block,7'13",7'14",tl,0
serve,8'38",8'39",tr,0
dig,8'39",8'40",br,0
spike,8'40",8'41",bl,0
dig,8'41",8'42",tl,0
pass,8'42",8'43",tr,0
spike,8'43",8'44",tl,0
block,8'44",8'45",br,0
serve,9'03",9'04",tr,0
serve,9'34",9'35",bl,0
dig,9'35",9'36",tr,0
pass,9'36"',9'37",tl,0
spike,9'37",9'38",tr,0
block,9'38",9'39",br,0
serve,9'54",9'55",tl,0
dig,9'55",9'56",bl,0
pass,9'56",9'57",br,0
spike,9'57",9'58",bl,0
block,9'58",9'59",tl,0
dig,9'59",10'01",tr,0
dig,10'01",10'02",tl,0
