nams,start,end,position,score
serve,0'23",0'24",tl,0
dig,0'24",0'25",br,0
dig,0'25",0'26",bl,1
serve,0'41",0'42",tl,0
dig,0'42",0'43",bl,0
pass,0'43",0'44",br,0
spike,0'44",0'45",bl,0
block,0'45",0'46",tl,0
dig,0'46",0'47",tl,0
spike,0'47",0'48",tr,0
dig,0'48",0'49",br,0
dig,0'49",0'50",bl,0
spike,0'50",0'51",br,0
dig,0'51",0'52",tl,1
serve,1'13",1'14",tl,0
dig,1'14",1'15",bl,0
dig,1'15",1'16",bl,0
spike,1'16",1'17",br,0
block,1'17",1'18",tl,0
serve,1'35",1'36",tl,0
dig,1'36",1'37",bl,0
spike,1'37",1'38",br,0
block,1'38",1'39",tl,0
dig,1'39",1'40",tl,0
dig,1'40",1'41",tr,0
spike,1'41",1'42",tl,0
dig,1'42",1'43",br,0
pass,1'43",1'44",bl,0
spike,1'44",1'45",br,0
block,1'45",1'46",tr,0
pass,1'46",1'47",tl,1
serve,2'09",2'10",tl,0
dig,2'10",2'11",bl,0
dig,2'11",2'12",br,0
spike,2'12",2'13",bl,0
dig,2'13",2'14",tl,0
dig,2'13",2'15",br,0
pass,2'14",2'16",bl,0
spike,2'15",2'17",br,0
block,2'16",2'18",tr,0
serve,2'34",2'35",bl,0
dig,2'35",2'36",tl,0
spike,2'36¡°,2'37",tr,0
serve,2'55",2'56",tl,0
dig,2'56",2'57",bl,0
bpa,2'57",2'58",br,0
spike,2'58",2'59",bl,0
block,2'59",3'00",tl,0
serve,3'27",3'28",bl,0
dig,3'28",3'29",tr,0
dig,3'29",3'30",tl,0
spike,3'30",3'31",tr,0
block,3'31",3'32",br,0
serve,3'49",3'50",tr,0
serve,4'06",4'07",bl,0
dig,4'07",4'08",tr,0
pass,4'08",4'09",tl,0
spike,4'09",4'10",tr,0
block,4'10",4'11",br,0
serve,4'25",4'26",tl,0
dig,4'26",4'27",br,0
dig,4'27",4'28",bl,0
spike,4'28",4'29",br,0
block,4'29",4'30",tr,0
serve,4'46",4'47",br,0
dig,4'47",4'48",tr,0
dig,4'48",4'49",tl,0
spike,4'49",4'50",tr,0
dig,4'50",4'50",tr,0
dig,4'51",4'51",tl,0
spike,4'52",4'52",tr,0
dig,4'43",4'53",tl,0
dig,4'44",4'54",tr,0
spike,4'45",4'55",tl,0
block,4'46",4'56",bl,0
serve,5'17",5'18",tr,0
dig,5'18",5'19",br,0
pass,5'19",5'20",bl,0
spike,5'20",5'21",br,0
serve,5'43",5'44",bl,0
dig,5'44",5'45",tr,0
dig,5'45",5'46",tl,0
spike,5'46",5'47",tr,0
block,5'47",5'48",br,0
serve,6'11",6'12",br,0
dig,6'12",6'13",tl,0
pass,6'13",6'14",tr,0
spike,6'14",6'15",tl,0
block,6'15",6'16",bl,1
serve,6'32",6'33",br,0
dig,6'33",6'34",tl,0
pass,6'34",6'35",tr,0
spike,6'35",6'36",tl,0
block,6'36",6'37",bl,0
pass,6'37",6'38",br,0
spike,6'38",6'39",tl,0
serve,6'57",6'58",tl,0
dig,6'58",6'59",bl,0
pass,6'59",7'00",br,0
spike,7'00",7'01",bl,0
block,7'01",7'02",tl,0
dig,7'02",7'03",tl,0
dig,7'03",7'04",tr,0
serve,7'26",7'27",bl,0
dig,7'27",7'28",tr,0
pass,7'28",7'29",tl,0
spike,7'29",7'30",tr,0
dig,7'30",7'31",br,0
dig,7'31",7'32",bl,0
spike,7'32",7'33",br,0
block,7'33",7'34",tr,0
pass,7'34",7'35",tr,0
dig,7'35",7'36",tl,0
spike,7'36",7'37",tr,0
pass,7'38",7'38",bl,0
dig,7'39",7'39",br,0
spike,7'40",7'40",bl,0
serve,8'01",8'02",tl,0
dig,8'02",8'03",tl,0
spike,8'03",8'04",tr,0
dig,8'04",8'05",br,0
dig,8'05",8'06",bl,0
spike,8'06",0'07",br,0
serve,8'29",8'30",tl,0
dig,8'30",8'31",bl,0
dig,8'31",8'32",br,0
spike,8'32",8'33",bl,0
block,8'33",8'34",tl,0
serve,9'49",9'50",bl,0
dig,9'50",9'51",tl,0
block,9'51",9'52",br,0
serve,10'31",10'32",tr,0
dig,10'32",10'33",br,0
spike,10'33",10'34",bl,0
block,10'34",10'35",tl,0
serve,10'50",10'51",bl,0
dig,10'51",10'52",tr,0
pass,10'52",10'53",tl,0
spike,10'53",10'54",tr,0
block,10'54",10'55",br,1
serve,11'12",11'13",bl,0
dig,11'13",11'14",tl,0
dig,11'14",11'15",tr,0
spike,11'15",11'16",tl,0
block,11'16",11'17",br,0
dig,11'17",11'18",bl,0
serve,11'39",11'40",tr,0
dig,11'40",11'41",br,0
dig,11'41",11'42",bl,0
spike,11'42",11'43",br,0
block,11'43",11'44",tr,0
serve,11'59",12'00",bl,0
dig,12'00",12'01",tr,0
dig,12'01",12'02",tl,0
spike,12'02",12'03",tr,0
block,12'03",12'04",br,0
serve,12'21",12'22",tl,0
serve,12'36",12'37",bl,0
dig,12'37",12'38",tl,0
pass,12'38",12'39",tr,0
spike,12'39",12'40",tl,0
block,12'40",12'41",bl,0
dig,12'41",12'42",br,0
serve,13'11",13'12",bl,0
dig,13'12",13'13",tr,0
pass,13'13",13'14",tl,0
spike,13'14",13'15",tr,0
block,13'15",13'16",br,0
serve,13'32",13'33",tl,0
dig,13'33",13'34",bl,0
dig,13'34",13'35",br,0
spike,13'35",13'36",bl,0
dig,13'36",13'37",tr,0
dig,13'37",13'38",bl,0
dig,13'38",13'39",br,0
spike,13'39",13'40",bl,0
block,13'40",13'41",tl,0
serve,13'56",13'57",br,0
dig,13'57",13'58",tl,0
spike,13'58",13'59",tr,0
serve,14'15",14'16",tl,0
dig,14'16",14'17",bl,0
dig,14'17",14'18",br,0
spike,14'18",14'19",bl,0
block,14'19",14'20",tl,0
serve,14'38",14'39",bl,0
dig,14'39",14'10",tl,0
pass,14'40",14'41",tr,0
spike,14'41",14'42",tl,0
dig,14'42",14'43",br,0
pass,14'43",14'44",bl,0
spike,14'44",14'45",br,0
block,14'45",14'46",tr,0
serve,15'08",15'09",tl,0
dig,15'09",15'10",br,0
pass,15'10",15'11",bl,0
spike,15'11",15'12",br,0
block,15'12",15'13",tr,0
serve,15'30",15'31",bl,0
dig,15'31¡¢",15'32",tl,0
spike,15'32",15'33",tr,0
serve,16'00",16'01",bl,0
serve,16'19",16'20",bl,0
dig,16'20",16'21",tl,0
pass,16'21",16'22",tr,0
spike,16'22",16'23",tl,0
