name,start,end,position,score,,,,,,,,,,,,,,,,,,,,
serve,1'13",1'14",tl,0,,,,,,,,,,,,,,,,,,,,
dig,1'14",1'15",br,0,,,,,,,,,,,,,,,,,,,,
dig,1'15",1'16",bl,0,,,,,,,,,,,,,,,,,,,,
spike,1'16",1'17",br,0,,,,,,,,,,,,,,,,,,,,
serve,1'41,1'42",bl,0,,,,,,,,,,,,,,,,,,,,
dig,1'42",1'43",tl,0,,,,,,,,,,,,,,,,,,,,
pass,1'43",1'44",tr,0,,,,,,,,,,,,,,,,,,,,
spike,1'44",1'45",tl,0,,,,,,,,,,,,,,,,,,,,
block,1'45",1'46",bl,0,,,,,,,,,,,,,,,,,,,,
dig,1'46",1'47",br,0,,,,,,,,,,,,,,,,,,,,
dig,1'47",1'48",bl,0,,,,,,,,,,,,,,,,,,,,12
spike,1'48",1'49",br,0,,,,,,,,,,,,,,,,,,,,
dig,1'49",1'50",tl,0,,,,,,,,,,,,,,,,,,,,
dig,1'50",1'51",tr,0,,,,,,,,,,,,,,,,,,,,
spike,1'51",1'52",tl,0,,,,,,,,,,,,,,,,,,,,
dig,1'52",1'53",br,0,,,,,,,,,,,,,,,,,,,,
serve,2'21",2'22",bl,0,,,,,,,,,,,,,,,,,,,,
dig,2'22",2'23",tr,0,,,,,,,,,,,,,,,,,,,,
dig,2'23",2'24",tl,0,,,,,,,,,,,,,,,,,,,,
spike,2'24",2'25",tr,0,,,,,,,,,,,,,,,,,,,,
block,2'25",2'26",bl,0,,,,,,,,,,,,,,,,,,,,
serve,2'48",2'49",tl,1,,,,,,,,,,,,,,,,,,,,
serve,3'11",3'12",tl,0,,,,,,,,,,,,,,,,,,,,
serve,3'39",3'40",tl,0,,,,,,,,,,,,,,,,,,,,
dig,3'40",3'41",br,0,,,,,,,,,,,,,,,,,,,,
pass,3'41",3'42",bl,0,,,,,,,,,,,,,,,,,,,,
spike,3'42",3'43",br,0,,,,,,,,,,,,,,,,,,,,
block,3'43",3'44",tl,0,,,,,,,,,,,,,,,,,,,,
serve,4'02",4'03",br,0,,,,,,,,,,,,,,,,,,,,
dig,4'03",4'04",tr,0,,,,,,,,,,,,,,,,,,,,
pass,4'04",4'05",tl,0,,,,,,,,,,,,,,,,,,,,
spike,4'05",4'06",tr,0,,,,,,,,,,,,,,,,,,,,
block,4'06",4'07",bl,1,,,,,,,,,,,,,,,,,,,,
serve,4'46",4'47",br,0,,,,,,,,,,,,,,,,,,,,
dig,4'47",4'48",tr,0,,,,,,,,,,,,,,,,,,,,
pass,4'48",4'49",tl,0,,,,,,,,,,,,,,,,,,,,
spike,4'49",4'50",tr,0,,,,,,,,,,,,,,,,,,,,
block,4'50",4'51",bl,1,,,,,,,,,,,,,,,,,,,,
serve,5'15",5'16",br,0,,,,,,,,,,,,,,,,,,,,
dig,5'16",5'17",tr,0,,,,,,,,,,,,,,,,,,,,
dig,5'17",5'18",tl,0,,,,,,,,,,,,,,,,,,,,
spike,5'18",5'19",tr,0,,,,,,,,,,,,,,,,,,,,
serve,5'41",5'42",tl,0,,,,,,,,,,,,,,,,,,,,
dig,5'42",5'43",br,0,,,,,,,,,,,,,,,,,,,,
spike,5'43",4'44",bl,0,,,,,,,,,,,,,,,,,,,,
block,5'44",5'45",tr,0,,,,,,,,,,,,,,,,,,,,
serve,6'20",6'21",br,0,,,,,,,,,,,,,,,,,,,,
dig,6'21",6'22",tl,0,,,,,,,,,,,,,,,,,,,,
pass,6'22",6'23",tr,0,,,,,,,,,,,,,,,,,,,,
spike,6'23",6'24",tl,0,,,,,,,,,,,,,,,,,,,,
serve,6'46",6'47",tl,0,,,,,,,,,,,,,,,,,,,,
dig,6'47",6'49",bl,0,,,,,,,,,,,,,,,,,,,,
pass,6'49",6'50",br,0,,,,,,,,,,,,,,,,,,,,
spike,6'50",6'51",bl,0,,,,,,,,,,,,,,,,,,,,
dig,6'51",6'52",tl,0,,,,,,,,,,,,,,,,,,,,
block,6'52",6'53",tr,0,,,,,,,,,,,,,,,,,,,,
dig,6'53",6'54",tl,0,,,,,,,,,,,,,,,,,,,,
dig,6'54",6'55",tr,0,,,,,,,,,,,,,,,,,,,,
spike,6'55",6'56",tl,0,,,,,,,,,,,,,,,,,,,,
dig,6'56",6'57",br,0,,,,,,,,,,,,,,,,,,,,
spike,6'57",6'58",bl,0,,,,,,,,,,,,,,,,,,,,
serve,7'28",7'29",br,0,,,,,,,,,,,,,,,,,,,,
dig,7'29",7'30",tl,0,,,,,,,,,,,,,,,,,,,,
dig,7'30",7'31",tr,0,,,,,,,,,,,,,,,,,,,,
spike,7'31",7'32",tl,0,,,,,,,,,,,,,,,,,,,,
block,7'32",7'33",br,1,,,,,,,,,,,,,,,,,,,,
serve,7'58",7'59",br,0,,,,,,,,,,,,,,,,,,,,
dig,7'59",8'00",tr,0,,,,,,,,,,,,,,,,,,,,
dig,8'00",8'01",tl,0,,,,,,,,,,,,,,,,,,,,
spike,8'01",8'02",tr,0,,,,,,,,,,,,,,,,,,,,
serve,8'33",8'34",bl,0,,,,,,,,,,,,,,,,,,,,
dig,8'34",8'35",tl,0,,,,,,,,,,,,,,,,,,,,
spike,8'35",8'36",tr,0,,,,,,,,,,,,,,,,,,,,
block,8'36",8'37",br,0,,,,,,,,,,,,,,,,,,,,
dig,8'37",8'38",bl,0,,,,,,,,,,,,,,,,,,,,
dig,8'38",8'39",br,0,,,,,,,,,,,,,,,,,,,,
spike,8'39",8'40",bl,0,,,,,,,,,,,,,,,,,,,,
dig,8'40",8'41",tr,0,,,,,,,,,,,,,,,,,,,,
dig,8'41",8'42",tl,0,,,,,,,,,,,,,,,,,,,,
spike,8'42",8'43",tr,0,,,,,,,,,,,,,,,,,,,,
block,8'43",8'44",br,0,,,,,,,,,,,,,,,,,,,,
dig,8'44",8'45",br,0,,,,,,,,,,,,,,,,,,,,
spike,8'45",8'46",bl,0,,,,,,,,,,,,,,,,,,,,
serve,9'13",9'14",bl,0,,,,,,,,,,,,,,,,,,,,
dig,9'14",9'15",tl,0,,,,,,,,,,,,,,,,,,,,
pass,9'15",9'16",tr,0,,,,,,,,,,,,,,,,,,,,
spike,9'16",9'17",tl,0,,,,,,,,,,,,,,,,,,,,
dig,9'17",9'18",br,0,,,,,,,,,,,,,,,,,,,,
pass,9'18",9'19",bl,1,,,,,,,,,,,,,,,,,,,,
serve,9'42",9'43",br,0,,,,,,,,,,,,,,,,,,,,
dig,9'43",9'44",tl,0,,,,,,,,,,,,,,,,,,,,
spike,9'44",9'45",tr,0,,,,,,,,,,,,,,,,,,,,
serve,10'31",10'32",tl,0,,,,,,,,,,,,,,,,,,,,
dig,10'32",10'33",br,0,,,,,,,,,,,,,,,,,,,,
dig,10'33",10'34",bl,0,,,,,,,,,,,,,,,,,,,,
spike,10'34",10'35",br,0,,,,,,,,,,,,,,,,,,,,
block,10'35",10'36",tr,1,,,,,,,,,,,,,,,,,,,,
serve,12'16",12'17",br,0,,,,,,,,,,,,,,,,,,,,
dig,12'17",12'18",tl,0,,,,,,,,,,,,,,,,,,,,
dig,12'18",12'19",tr,0,,,,,,,,,,,,,,,,,,,,
spike,12'19",12'20",tl,0,,,,,,,,,,,,,,,,,,,,
serve,12'37",12'38",tl,0,,,,,,,,,,,,,,,,,,,,
dig,12'38",12'39",br,0,,,,,,,,,,,,,,,,,,,,
serve,12'56",12'57",tl,0,,,,,,,,,,,,,,,,,,,,
dig,12'57",12'58",br,0,,,,,,,,,,,,,,,,,,,,
pass,12'58",12'59",bl,0,,,,,,,,,,,,,,,,,,,,
spike,12'59",12'00",br,0,,,,,,,,,,,,,,,,,,,,
block,13'00",12'01",tr,0,,,,,,,,,,,,,,,,,,,,
serve,13'26",13'27",br,0,,,,,,,,,,,,,,,,,,,,
dig,13'27",13'28",tl,0,,,,,,,,,,,,,,,,,,,,
pass,13'28",13'29",tr,0,,,,,,,,,,,,,,,,,,,,
spike,13'29",13'30",tl,0,,,,,,,,,,,,,,,,,,,,
serve,13'52",13'53",tl,0,,,,,,,,,,,,,,,,,,,,
dig,13'53",13'54",br,0,,,,,,,,,,,,,,,,,,,,
spike,13'54",13'55",bl,0,,,,,,,,,,,,,,,,,,,,
dig,13'55",13'56¡¯,tr,0,,,,,,,,,,,,,,,,,,,,
dig,13'56",13'57",tl,0,,,,,,,,,,,,,,,,,,,,
spike,13'57",13'58",tr,0,,,,,,,,,,,,,,,,,,,,
serve,15'25",15'26",bl,0,,,,,,,,,,,,,,,,,,,,
dig,15'26",15'27",tl,0,,,,,,,,,,,,,,,,,,,,
pass,15'27",15'28",tr,0,,,,,,,,,,,,,,,,,,,,
spike,15'28",15'29",tl,0,,,,,,,,,,,,,,,,,,,,
block,15'29",15'30",bl,0,,,,,,,,,,,,,,,,,,,,
dig,15'30",15'31",br,0,,,,,,,,,,,,,,,,,,,,
dig,15'31",15'32",bl,0,,,,,,,,,,,,,,,,,,,,
spike,15'32",15'33",br,0,,,,,,,,,,,,,,,,,,,,
serve,15'58",15'59",tl,0,,,,,,,,,,,,,,,,,,,,
dig,15'59",16'00",br,0,,,,,,,,,,,,,,,,,,,,
spike,16'00",16'01",bl,0,,,,,,,,,,,,,,,,,,,,
block,16'01",16'02",tr,0,,,,,,,,,,,,,,,,,,,,
serve,16'19",16'20",bl,0,,,,,,,,,,,,,,,,,,,,
dig,16'20",16'21",tr,0,,,,,,,,,,,,,,,,,,,,
pass,16'21",16'22",tl,0,,,,,,,,,,,,,,,,,,,,
spike,16'22",16'23",tr,0,,,,,,,,,,,,,,,,,,,,
block,16'23",16'24",bl,0,,,,,,,,,,,,,,,,,,,,
dig,16'24",16'25",bl,0,,,,,,,,,,,,,,,,,,,,
spike,16'25",16'26",br,0,,,,,,,,,,,,,,,,,,,,
dig,16'26",16'27",tr,0,,,,,,,,,,,,,,,,,,,,
spike,16'27",16'28",tl,0,,,,,,,,,,,,,,,,,,,,
serve,16'57",16'58",tl,0,,,,,,,,,,,,,,,,,,,,
dig,16'58,16'59",bl,0,,,,,,,,,,,,,,,,,,,,
pass,16'59",17'00",br,0,,,,,,,,,,,,,,,,,,,,
spike,17'00",17'01",bl,0,,,,,,,,,,,,,,,,,,,,
block,17'01",17'02",tl,0,,,,,,,,,,,,,,,,,,,,
serve,17'25",17'26",tl,0,,,,,,,,,,,,,,,,,,,,
dig,17'26",17'27¡¯,bl,0,,,,,,,,,,,,,,,,,,,,
pass,17'27",17'28",br,0,,,,,,,,,,,,,,,,,,,,
spike,17'28",17'29",bl,0,,,,,,,,,,,,,,,,,,,,
block,17'29",17'30',tl,0,,,,,,,,,,,,,,,,,,,,
serve,18'03",18'04",tl,0,,,,,,,,,,,,,,,,,,,,
dig,18'04",18'05",bl,0,,,,,,,,,,,,,,,,,,,,
pass,18'05",18'06",br,0,,,,,,,,,,,,,,,,,,,,
spike,18'06",18'07",bl,0,,,,,,,,,,,,,,,,,,,,
