start_frame,end_frame,action_name,position,score
12929,12969,FS,tr,0
12982,12989,BK,br,0
12999,13010,FB,tl,0
13018,13024,BL,bl,0
13037,13043,BK,tr,1
13479,13514,FS,tr,0
13525,13538,BB,br,1
14019,14043,FS,br,0
14051,14062,BPUNCH,tl,0
14069,14076,BK,bl,0
14080,14087,FD,tr,1
14582,14602,FS,br,0
14611,14620,BK,tl,1
15215,15238,FS,tl,0
15251,15260,BB,br,0
15267,15273,BPUNCH,tr,0
15278,15284,BL,bl,0
15288,15297,BK,tl,1
15827,15856,FS,tl,1
16614,16637,FS,br,1
17690,17722,FS,tr,0
17733,17745,BPUNCH,br,1
18281,18314,FS,tr,0
18326,18332,FL,br,0
18341,18356,FD,tl,1
18921,18936,FS,br,0
18944,18958,FB,tl,0
18961,18970,BB,bl,1
19551,19579,FS,br,0
19585,19600,BL,tl,0
19604,19611,BPUNCH,bl,0
19615,19623,BK,tr,0
19625,19637,BK,br,0
19641,19646,BPUNCH,tl,1
20548,20579,FS,tl,0
20583,20597,BB,br,0
20601,20615,FB,tr,0
20618,20634,FD,bl,1
21307,21336,FS,tl,0
21342,21352,BPUNCH,br,0
21356,21368,BK,tr,0
21375,21381,FD,bl,1
22130,22158,FS,br,0
22164,22180,FP,tr,0
22186,22202,FD,bl,0
22205,22211,BK,tl,0
22217,22229,BPUNCH,br,1
22943,22971,FS,br,1
23710,23751,FS,tr,1
24332,24373,FS,tr,0
24384,24391,BC,br,0
24403,24419,FD,tl,1
25346,25358,FS,br,1
25957,25978,FS,br,0
25989,26000,BP,tl,0
26005,26012,BL,bl,0
26015,26023,BK,tr,1
29313,29339,FS,tl,0
29349,29362,FL,bl,0
29365,29372,FP,tr,0
29380,29386,BPUNCH,br,1
29916,29941,FS,tl,0
29947,29961,FB,bl,0
29966,29982,FL,tr,0
29986,29996,FP,br,0
30000,30014,FD,tl,1
30562,30603,FS,bl,0
30618,30624,BK,tl,0
30629,30645,FD,br,1
31302,31342,FS,bl,0
31347,31366,BPUNCH,tl,0
31371,31384,FL,br,0
31389,31404,BPUNCH,tr,1
32104,32127,FS,tl,0
32140,32150,FP,br,1
32819,32840,FS,tl,0
32853,32865,BL,br,0
