start_frame,end_frame,action_name,position,score
13792,13817,FS,br,0
13833,13840,BP,tl,0
13851,13859,FL,bl,0
13865,13873,FL,tr,0
13882,13887,BK,br,1
14414,14441,FS,br,0
14457,14464,BPUNCH,tl,1
14992,15020,FS,tl,0
15025,15038,FB,bl,0
15048,15058,FL,tr,1
15552,15577,FS,tl,1
16044,16069,FS,bl,0
16083,16090,FP,tr,0
16097,16105,BL,br,0
16117,16127,FL,tl,1
16594,16618,FS,bl,0
16635,16643,FB,bl,0
16652,16658,FL,br,0
16666,16673,BPUNCH,tl,1
17486,17515,FS,tr,1
17971,17995,FS,tr,0
18005,18013,FB,br,0
18026,18033,FC,tl,0
18041,18048,BL,bl,1
18613,18635,FS,br,0
18653,18660,BPUNCH,tl,1
19289,19324,FS,br,0
19335,19343,FC,tl,0
19350,19361,FB,bl,1
19925,19954,FS,tl,0
19967,19977,BL,br,1
20609,20639,FS,tl,0
20652,20662,BL,br,1
21669,21695,FS,bl,0
21706,21716,FC,tr,0
21726,21735,BPUNCH,br,1
22599,22626,FS,bl,0
22640,22646,FC,tr,0
22659,22668,FB,br,0
22678,22691,FB,tl,0
22704,22715,FL,bl,1
23626,23652,FS,tr,0
23663,23676,FB,br,0
23681,23687,FC,tl,0
23693,23704,FB,bl,0
23714,23725,FC,tr,0
23736,23747,FL,br,1
24621,24646,FS,tr,0
24658,24667,BL,br,1
25572,25601,FS,br,0
25615,25623,FB,tl,0
25630,25640,FB,bl,0
25650,25658,FL,tr,0
25664,25672,BK,br,0
25683,25694,FL,tl,1
26543,26568,FS,br,0
26584,26591,BL,tl,0
26602,26614,FL,bl,1
27765,27791,FS,tl,0
27801,27808,FD,br,1
31387,31410,FS,bl,0
31421,31431,FB,tr,0
31439,31452,FB,br,0
31461,31472,FB,tl,0
31483,31492,FL,bl,1
32009,32034,FS,bl,0
32053,32062,FL,tr,0
32068,32074,BK,br,1
32950,32979,FS,tr,0
32989,32999,BL,br,1
33533,33567,FS,tr,0
33579,33591,BPUNCH,br,1
34156,34184,FS,br,0
34193,34205,FC,tl,0
34212,34222,FB,bl,1
34709,34733,FS,br,0
34744,34752,FP,tl,0
34766,34774,FL,bl,1
35567,35605,FS,tl,0
35618,35626,FB,bl,0
35634,35645,FC,tr,1
36225,36245,FS,tl,0
36256,36265,FB,bl,0
36276,36281,BL,tr,0
36284,36290,FL,br,0
36294,36303,FL,tl,1
37025,37047,FS,bl,0
37065,37071,BL,tl,1
37792,37819,FS,bl,0
37830,37839,BL,tr,0
37845,37853,BPUNCH,br,1
38419,38448,FS,tr,1
38996,39028,FS,tr,0
39039,39051,BPUNCH,br,1
39873,39911,FS,br,0
39925,39934,BL,tl,0
39937,39944,BPUNCH,bl,1
40485,40511,FS,br,0
40523,40532,FB,tl,0
40538,40549,FB,bl,1
41170,41199,FS,tl,0
41210,41220,FB,bl,0
41227,41235,FC,tr,0
41239,41256,BP,br,1
44572,44600,FS,bl,0
44608,44622,FB,tr,0
44632,44644,FP,br,0
44652,44664,FL,tl,0
44670,44678,BPUNCH,bl,0
44688,44694,FL,tr,1
45557,45610,FS,bl,0
45625,45634,FC,tr,0
45643,45657,FB,br,0
45668,45676,BL,tl,1
46348,46375,FS,tr,0
46388,46401,BB,br,0
46404,46412,FC,tl,1
47025,47051,FS,tr,0
47058,47067,FP,br,0
47076,47084,FB,tl,0
47094,47104,BL,bl,0
47109,47118,FL,tr,1
47793,47818,FS,br,0
47836,47842,BPUNCH,tl,1
48546,48570,FS,br,0
48577,48591,FP,tl,1
49486,49514,FS,tl,1
50025,50052,FS,tl,0
50065,50078,BPUNCH,br,0
50076,50088,FL,tr,1
50610,50635,FS,bl,0
50643,50658,FB,tr,0
50660,50672,FP,br,0
50681,50691,FP,tl,0
50693,50705,FC,bl,0
50718,50727,FL,tr,0
50734,50742,FL,br,1
51273,51298,FS,bl,0
51314,51321,FP,tr,1
51815,51839,FS,tr,0
51847,51857,FB,br,1
52400,52423,FS,tr,0
52433,52442,FP,br,1
53327,53359,FS,br,0
53368,53376,BL,tl,1
53902,53924,FS,br,0
53943,53949,BPUNCH,tl,0
53956,53964,FB,bl,0
53977,53990,FP,tr,1
56968,56993,FS,bl,0
57007,57017,BL,tr,0
57017,57028,BL,br,1
57715,57737,FS,bl,0
57749,57759,FC,tr,1
58296,58323,FS,tr,1
58756,58783,FS,tr,0
58796,58809,BPUNCH,br,1
59508,59535,FS,br,1
62797,62823,FS,br,0
62832,62843,FB,tl,1
63742,63766,FS,tl,0
63774,63792,FP,bl,0
63806,63814,FL,tr,1
64589,64621,FS,tl,0
64633,64641,FB,bl,0
64649,64657,FC,tr,1
65479,65501,FS,bl,0
65514,65522,FP,tr,0
65529,65539,FB,br,0
65545,65557,FP,tl,0
65565,65575,FP,bl,0
65581,65594,FP,tr,0
65599,65611,BPUNCH,br,0
65605,65617,BPUNCH,tl,0
65625,65631,FL,bl,0
65636,65644,FL,tr,1
66414,66454,FS,bl,0
66464,66475,FC,tr,0
66479,66489,BL,br,0
66491,66500,BPUNCH,tl,0
66506,66513,FL,bl,1
67275,67307,FS,tr,0
67315,67325,BPUNCH,br,0
67330,67337,FL,tl,0
67343,67348,FL,bl,0
67356,67365,FL,tr,1
68428,68503,FS,tr,0
68520,68529,FL,tl,1
69508,69535,FS,br,0
69547,69554,BPUNCH,tl,0
69558,69567,FL,bl,0
69573,69580,FL,tr,0
69588,69597,FL,br,0
69598,69607,BK,tl,1
70630,70656,FS,br,0
70670,70679,FL,tl,0
70685,70690,FL,bl,0
70697,70710,FL,tr,0
70716,70723,BB,br,1
71551,71632,FS,tl,0
71644,71653,FP,bl,1
72467,72498,FS,tl,1
73190,73222,FS,bl,0
73227,73239,FB,tr,0
73240,73253,FB,br,0
73264,73279,FL,tl,1
77061,77118,FS,bl,0
77129,77138,FC,tr,0
77149,77160,FL,br,0
77162,77174,FD,tl,0
77178,77187,BPUNCH,bl,0
77192,77201,FL,tr,1
77812,77882,FS,bl,0
77893,77900,FC,tr,0
77906,77915,FP,br,0
77926,77933,FP,tl,1
78848,78875,FS,tr,0
78882,78893,FB,br,0
78902,78917,FB,tl,0
78926,78941,FD,bl,1
79690,79720,FS,tr,1
80412,80439,FS,br,0
80452,80458,BL,tl,0
80463,80469,FL,bl,0
80472,80480,FL,tr,1
81351,81374,FS,br,0
81391,81400,FL,tl,0
81402,81411,BB,bl,0
81420,81428,FL,tr,0
81428,81440,BP,br,1
82658,82688,FS,tl,1
84011,84041,FS,br,0
84051,84059,BL,tl,0
84065,84072,BPUNCH,bl,0
84080,84087,FL,tr,0
84093,84098,BPUNCH,br,1
84936,84974,FS,tl,0
84982,84992,FP,bl,0
85004,85013,FL,tr,0
85018,85025,BPUNCH,br,0
