start_frame,end_frame,action_name,position,score
9697,9724,FS,tr,0
9728,9741,FP,bl,0
9750,9760,FP,tl,0
9762,9775,FL,br,1
10081,10103,FS,tr,0
10106,10119,FP,bl,0
10127,10139,FB,tl,0
10141,10153,FD,br,1
10532,10553,FS,bl,0
10562,10570,FB,tl,0
10575,10582,FP,br,1
10928,10952,FS,bl,0
10961,10970,FP,tl,0
10974,10987,FB,br,0
10996,11005,FL,tr,1
11357,11380,FS,tl,0
11382,11394,FB,br,0
11401,11406,FC,tr,0
11411,11425,FL,bl,1
11763,11784,FS,tl,0
11791,11802,FB,br,0
11809,11816,BPUNCH,tr,0
11816,11824,BK,bl,1
12408,12430,FS,br,0
12435,12449,FP,tr,0
12453,12462,FD,bl,0
12466,12474,BL,tl,0
12477,12489,FL,br,1
12965,12993,FS,br,0
13002,13011,FC,tr,0
13014,13027,FD,bl,1
13438,13462,FS,tr,0
13469,13478,FP,bl,0
13480,13492,FP,tl,1
13949,13974,FS,tr,0
13977,13988,FB,bl,0
13994,14002,FP,tl,0
14006,14021,BL,br,0
14031,14041,FL,tl,0
14045,14054,FL,bl,0
14058,14067,FL,tl,0
14074,14081,FL,bl,0
14089,14097,FL,tr,0
14106,14117,BL,bl,0
14130,14137,FL,tl,0
14144,14152,BL,br,0
14163,14174,FL,tl,1
14830,14857,FS,bl,0
14869,14876,FB,tl,0
14880,14890,BL,br,1
15397,15421,FS,bl,0
15426,15439,BL,tl,1
16122,16143,FS,tl,0
16150,16163,FC,br,0
16167,16173,BPUNCH,tr,1
16727,16744,FS,tl,1
17383,17416,FS,br,0
17422,17435,FB,tr,0
17437,17449,FB,bl,1
18132,18158,FS,br,0
18163,18176,FC,tr,0
18183,18196,FL,bl,1
18742,18772,FS,tr,0
18776,18785,FB,bl,0
18792,18798,FB,tl,0
18806,18815,FL,br,1
21745,21767,FS,tr,0
21773,21783,FB,bl,0
21790,21797,FD,tl,1
22172,22191,FS,tr,0
22200,22211,FB,bl,0
22214,22222,FD,tl,0
22223,22233,FL,br,0
22237,22245,FL,tr,1
22638,22665,FS,bl,0
22667,22678,FP,tl,0
22684,22695,BL,br,0
22698,22705,BC,tr,0
23146,23152,FB,tl,0
23161,23166,FB,br,0
23173,23178,BL,tr,0
23652,23661,FB,br,0
23662,23672,FP,tr,0
23676,23686,FB,bl,1
24096,24123,FS,tl,1
24657,24680,FS,br,0
24689,24698,FP,tr,0
24706,24713,FB,bl,0
24716,24725,FL,tl,0
24732,24740,FL,br,0
24747,24756,FL,tr,0
24759,24765,BK,bl,1
25144,25183,FS,br,0
25195,25202,FL,tr,1
25635,25653,FS,tr,0
25657,25672,FB,bl,1
26067,26085,FS,tr,0
26095,26103,FB,bl,0
26110,26118,FD,tl,0
26121,26127,BL,br,0
26130,26139,FL,tr,0
26144,26149,BL,bl,0
26157,26172,FL,tr,1
26553,26575,FS,bl,0
26589,26594,FP,tl,0
26597,26606,FB,br,0
26613,26623,FL,tr,0
26630,26637,BK,bl,0
26647,26654,FL,tl,1
27026,27051,FS,bl,0
27058,27068,FP,tl,0
27071,27081,FP,br,0
27091,27097,BB,tr,0
27108,27114,FL,bl,1
27907,27934,FS,tl,0
27940,27949,FB,br,0
27958,27962,BPUNCH,tr,0
27965,27972,BL,bl,0
27977,27984,FL,tl,0
27988,27994,FL,br,0
28000,28006,FL,tr,1
