start_frame,end_frame,action_name,position,score
12087,12119,FS,br,0
12120,12139,FP,tr,1
12563,12595,FS,br,0
12597,12621,FP,br,0
12623,12633,FP,bl,0
12642,12649,BB,tl,1
13216,13247,FS,tr,0
13253,13265,FP,bl,1
13829,13836,FS,tr,0
13838,13846,FB,bl,0
13853,13861,FP,tl,0
13870,13877,BK,br,0
13885,13894,FL,tr,0
13899,13910,FL,bl,1
14445,14471,FS,bl,0
14485,14498,BK,tl,0
14507,14510,BK,br,0
14527,14530,FL,tr,0
15059,15060,FL,bl,0
15064,15067,FB,tl,0
15080,15086,BPUNCH,br,0
15093,15097,FD,tr,0
15107,15117,FL,bl,0
15127,15130,FL,tl,0
16000,16011,FL,tl,0
16021,16029,BPUNCH,br,0
16039,16051,FL,tr,0
16063,16071,BK,bl,0
16079,16088,BK,tl,0
16093,16096,FP,br,1
16818,16827,FS,tl,0
17448,17450,FP,br,0
17458,17465,FB,tr,0
17471,17482,FL,bl,1
18002,18005,FS,br,0
18018,18024,FD,tr,0
18033,18040,BL,bl,0
18047,18052,FL,tl,0
18678,18681,FL,tr,0
18682,18690,FP,bl,0
18700,18710,BC,tl,0
18717,18725,BL,br,0
18732,18740,FL,tr,0
18747,18756,FL,bl,1
19494,19520,FS,tr,0
19530,19538,FC,bl,0
19552,19558,FP,tl,0
19566,19573,FB,br,1
20352,20364,FS,bl,0
20374,20385,BL,tl,1
20963,20964,FS,bl,0
20968,20973,BPUNCH,tl,1
21528,21562,FS,tl,0
21569,21580,BB,br,0
21591,21603,FL,tr,0
21610,21616,FL,bl,0
21623,21627,FL,tl,1
22670,22672,FS,br,0
22679,22685,FC,tr,0
22698,22702,FB,bl,0
22710,22716,BL,tl,1
25853,25906,FS,bl,0
25918,25929,BL,tl,0
25937,25943,BL,br,1
26414,26418,FS,bl,0
26435,26441,FC,tl,0
26453,26469,FP,br,0
26478,26487,BK,tr,0
26503,26507,FP,bl,0
26516,26524,BL,tl,0
26532,26538,BL,br,0
26547,26559,FL,tr,0
26562,26572,FL,bl,1
27211,27222,FS,tl,0
27234,27245,BL,br,0
27255,27262,BL,tr,0
27269,27273,BK,bl,0
27276,27285,BK,tl,1
27809,27829,FS,tl,0
27840,27851,BK,br,0
27858,27868,FP,tr,0
27879,27886,BL,bl,0
27895,27900,FL,tl,1
28526,28529,FS,br,0
28527,28542,FC,tr,0
28555,28563,FL,bl,0
28573,28580,FL,tl,1
29109,29146,FS,br,1
29429,29437,FS,br,0
29444,29452,FC,tr,1
30228,30230,FS,tr,0
30234,30242,FP,bl,0
30243,30256,BPUNCH,tl,0
30267,30275,FL,br,0
30923,30936,FP,tl,1
31620,31624,FS,bl,0
31630,31635,BL,tl,0
31641,31649,BL,br,0
31655,31661,BK,tr,0
31669,31673,BL,bl,0
31670,31674,FL,bl,0
31679,31686,BPUNCH,tl,0
31695,31701,BPUNCH,br,1
32345,32352,FS,bl,0
32362,32371,BPUNCH,tl,0
32378,32386,BPUNCH,br,0
32395,32400,FL,tr,0
32407,32411,FL,bl,1
33109,33127,FS,tl,0
33134,33152,BL,br,0
33160,33165,BK,tr,1
33738,33740,FS,tl,0
33746,33753,BK,br,0
33757,33769,BL,tr,0
33781,33788,BK,bl,0
33790,33798,FL,tl,1
34739,34741,FS,br,0
34753,34757,FD,tr,0
34762,34769,FL,bl,1
35278,35341,FS,br,0
