start_frame,end_frame,action_name,position,score
448,470,SV,br,1
1042,1051,SV,bl,0
1067,1072,BS,tr,0
1122,1125,S,tr,1
1895,1920,SV,br,0
1937,1940,BF,tl,1
2573,2597,SV,br,1
3358,3381,SV,br,0
3398,3402,FF,tl,1
4353,4360,SV,bl,0
4373,4380,BF,tr,0
4390,4393,VO,tr,0
4420,4422,FT,tr,0
4430,4434,VO,tr,0
4458,4466,FT,tr,1
5221,5227,SV,br,1
5800,5824,SV,bl,0
5838,5841,BF,tr,0
5852,5856,VO,tl,1
7296,7301,SV,br,1
7978,8002,SV,bl,0
8018,8023,BT,tr,0
8042,8046,S,tr,1
8703,8711,SV,br,0
8723,8726,BF,tl,0
8736,8739,VO,tl,0
8750,8756,BT,tr,0
8775,8778,S,tr,1
9350,9372,SV,bl,1
10229,10251,SV,tl,1
10810,10816,SV,tr,0
10832,10835,FT,bl,0
10844,10849,VO,tr,0
10867,10882,BT,bl,0
10889,10891,BF,tr,1
11546,11575,SV,tl,1
12419,12447,SV,tr,0
12462,12465,BT,bl,1
13159,13188,SV,tl,0
13204,13207,BF,br,0
13222,13228,BS,tr,0
13252,13261,FT,br,0
13283,13293,S,tl,1
14053,14081,SV,tr,0
14098,14103,BF,bl,0
14118,14121,FS,tl,0
14144,14156,BT,bl,0
14169,14173,FF,tl,0
14195,14203,FT,bl,0
14219,14225,BS,tr,0
14238,14242,BS,bl,0
14259,14262,S,tr,1
14702,14725,SV,tl,0
14739,14742,FT,br,1
15380,15388,SV,tr,1
16004,16021,SV,tl,1
16691,16717,SV,tr,0
16730,16733,BF,bl,1
17821,17841,SV,tl,1
18967,18990,SV,tr,1
19852,19873,SV,br,0
19886,19889,BS,tl,0
19942,19947,S,bl,1
20767,20791,SV,bl,1
21408,21414,SV,br,1
22017,22040,SV,bl,1
22495,22500,SV,br,0
22512,22516,BF,tl,0
22545,22548,FT,br,0
22570,22583,BT,tr,0
22614,22618,FT,br,1
23045,23066,SV,bl,0
23078,23082,BF,tr,0
23128,23135,S,bl,0
23152,23155,FF,tr,0
23177,23181,BS,tl,0
23208,23221,BS,tr,1
24022,24042,SV,br,0
24057,24061,FF,tl,0
24084,24091,FT,br,1
24951,24975,SV,br,1
25773,25795,SV,br,0
25810,25814,BT,tl,0
25833,25842,FT,br,0
25853,25856,BS,tr,1
26686,26709,SV,bl,0
26724,26727,BT,tr,0
26735,26738,VO,tr,0
26747,26750,BF,tl,0
26796,26810,FT,br,0
26831,26834,FT,tl,0
26886,26889,S,tl,1
27759,27776,SV,tl,0
27793,27795,BF,br,0
27811,27818,FS,tl,0
27848,27851,FT,br,0
27865,27869,BS,tr,0
27891,27900,BF,bl,0
27933,27935,S,tr,0
27943,27946,FT,bl,0
27985,27988,FT,tl,1
28491,28518,SV,tr,0
28533,28536,BT,bl,0
28549,28553,VO,tl,1
29053,29079,SV,tl,0
29092,29097,BT,br,0
29128,29133,FF,tl,0
29156,29161,BT,br,0
29189,29194,S,tr,0
29221,29225,BT,br,0
29236,29239,BS,tl,0
29258,29263,FF,br,0
29276,29279,BS,tl,0
29318,29322,FF,tr,0
29355,29362,VO,tl,0
29405,29407,FT,bl,0
29433,29437,BT,tr,0
29464,29469,FT,bl,1
30729,30763,SV,tl,0
30777,30781,FT,br,0
30795,30800,FF,tl,0
30841,30847,FF,br,0
30859,30863,BF,tr,0
30898,30903,BT,tl,1
31548,31575,SV,tr,1
32442,32458,SV,tl,1
33376,33396,SV,tr,0
33411,33414,FT,bl,0
33443,33447,FT,tr,0
33460,33464,VO,tl,0
33479,33483,BF,tl,0
33491,33495,VO,tl,1
34188,34196,SV,tl,1
35275,35284,SV,tr,0
35301,35303,FT,bl,0
35329,35335,FT,tr,1
36423,36447,SV,tl,0
36463,36467,BT,br,1
37110,37151,SV,tr,1
38071,38084,SV,br,0
38097,38100,BF,tl,0
38112,38116,FF,tl,0
38151,38156,FT,tr,0
38165,38167,FF,tl,0
38188,38191,S,tr,0
38198,38202,FF,tl,0
38227,38231,BT,tl,1
38833,38854,SV,bl,0
38868,38872,FT,tr,0
38885,38887,VO,tl,0
38917,38921,BT,tr,1
40055,40068,SV,br,1
40606,40617,SV,bl,1
41653,41670,SV,br,1
42537,42560,SV,bl,0
42577,42580,BT,tr,0
42616,42624,FT,br,0
42655,42660,FT,tr,1
43445,43463,SV,br,1
44257,44282,SV,bl,0
44296,44301,BT,tr,0
44321,44325,BT,bl,0
44362,44368,FT,tr,1
45201,45224,SV,br,0
45240,45244,BT,tl,0
45267,45273,BS,bl,0
45309,45314,FT,tr,0
45345,45347,BT,bl,0
45356,45359,VO,tr,0
45377,45382,VO,br,1
45986,45994,SV,bl,0
46012,46016,BF,tr,0
46048,46052,S,bl,1
46607,46610,SV,br,1
47023,47047,SV,bl,0
47062,47065,FT,tr,0
47082,47086,S,br,1
47524,47547,SV,br,0
47561,47564,FT,tl,0
47583,47588,FF,br,0
47621,47630,FT,tl,0
47640,47644,BS,bl,0
47657,47661,VO,tr,1
48074,48114,SV,bl,0
48126,48129,BT,tr,0
48151,48158,BT,bl,0
48180,48183,FF,tr,0
48216,48219,BT,bl,1
48734,48763,SV,br,0
48775,48778,BT,tl,1
49484,49490,SV,bl,0
49501,49504,BT,tr,1
50054,50073,SV,br,0
50085,50088,BT,tl,0
50101,50103,S,bl,1
51016,51021,SV,bl,0
51038,51041,FT,tr,0
51056,51063,FT,br,0
51085,51088,BS,tr,0
51103,51114,FT,br,0
51124,51127,BF,tl,0
51152,51160,FT,br,0
51172,51175,BS,tr,0
51197,51203,BT,bl,0
51233,51237,S,tr,0
51257,51260,FF,br,0
51278,51284,BF,tr,0
51304,51308,BS,br,0
51337,51342,S,tr,1
52030,52045,SV,br,1
52814,52839,SV,bl,1
53761,53778,SV,tl,0
53792,53798,FT,br,1
54377,54396,SV,tr,0
54409,54413,BT,bl,1
55069,55080,SV,tl,0
55096,55098,BT,br,0
55109,55113,VO,tr,1
56216,56249,SV,tr,0
56261,56266,BT,bl,1
57100,57133,SV,tl,0
57149,57151,BT,br,0
57159,57166,BS,tr,0
57181,57192,FT,bl,0
57201,57204,VO,tr,1
57894,57921,SV,tr,0
57934,57939,BT,bl,0
57949,57951,BF,tr,0
57983,58003,FT,br,0
58014,58017,BF,tl,1
58609,58662,SV,tl,0
58677,58680,FT,br,0
