start_frame,end_frame,action_name,position,score
64,96,SV,tl,1
552,577,SV,tr,0
580,594,FT,bl,0
600,626,FT,tl,0
636,668,FT,bl,0
673,701,FT,tl,0
748,768,FT,tl,1
1289,1307,SV,tl,1
1904,1943,SV,tr,1
3617,3657,SV,tl,1
4198,4208,SV,tr,0
4218,4225,BF,bl,0
4238,4254,BT,tr,0
4263,4281,FT,bl,1
5155,5233,SV,tl,0
5244,5254,BF,br,0
5264,5288,FT,tl,0
5303,5323,BT,bl,0
5334,5356,FT,tl,1
6062,6085,SV,tr,0
6091,6102,FF,bl,0
6124,6127,FF,tl,0
6128,6147,VO,bl,1
6941,6972,SV,tl,0
6983,6990,BF,br,0
7011,7039,S,tr,0
7030,7049,BF,bl,0
7070,7093,FT,tr,0
7097,7111,FT,bl,0
7123,7127,VO,tl,1
7959,7965,SV,tr,0
7974,7981,BF,bl,0
7992,8009,BF,tr,1
8695,8703,SV,tl,0
8714,8720,FF,br,1
9334,9336,SV,tr,0
9343,9354,BF,bl,0
9359,9367,S,tl,1
10422,10462,SV,br,0
10467,10481,BF,tl,0
10487,10494,VO,bl,0
10504,10507,VO,tr,0
10512,10519,VO,bl,0
10530,10550,FT,tl,1
11161,11172,SV,bl,1
11960,12003,SV,br,1
12546,12563,SV,bl,0
12564,12581,FF,tr,0
12605,12624,S,bl,1
13347,13420,SV,br,0
13421,13440,FT,tl,1
13767,13794,SV,br,0
13808,13815,BF,tl,0
13819,13827,VO,bl,0
13839,13867,FT,tl,1
14463,14472,SV,bl,1
16998,17031,SV,br,1
17526,17554,SV,bl,0
17559,17570,FF,tr,1
18390,18425,SV,br,0
18432,18443,BF,tl,1
19116,19134,SV,bl,0
19135,19154,FT,tr,1
19722,19757,SV,bl,0
19767,19776,BF,tr,0
19785,19789,VO,tr,0
19794,19807,FF,tr,0
19826,19837,VO,tl,0
19845,19867,BF,tr,0
19893,19910,S,br,1
21792,21821,SV,bl,0
21831,21837,FF,tr,1
22447,22477,SV,br,0
22483,22493,BF,tl,0
22527,22531,S,bl,0
22537,22552,BF,tl,0
22589,22598,S,tr,0
22611,22619,BF,tr,0
22679,22721,S,br,1
23466,23497,SV,bl,1
24525,24553,SV,tl,0
24562,24574,BT,br,1
25082,25103,SV,tr,0
25110,25120,BF,bl,0
25141,25149,S,tr,1
25657,25663,SV,tl,0
25663,25681,FF,br,0
25691,25704,FF,tl,0
25719,25724,VO,tl,0
25728,25735,FF,tr,0
25804,25815,FT,bl,0
25833,25841,FT,tl,0
25848,25869,FT,bl,0
25879,25888,VO,tr,1
26528,26533,SV,tr,1
27004,27016,SV,tl,1
29538,29548,SV,tl,0
29559,29565,BF,br,0
29564,29580,VO,tr,0
29586,29591,VO,bl,0
29611,29632,FT,tl,1
30247,30256,SV,tr,0
30266,30273,FF,bl,1
30532,30555,SV,tr,0
30565,30576,BF,bl,0
30582,30587,VO,tr,1
31498,31511,SV,tl,0
31518,31533,FF,br,0
31543,31562,FT,tl,0
31602,31632,BF,bl,0
31683,31695,FT,tr,0
31714,31725,BS,bl,1
32498,32512,SV,tr,0
32521,32530,FF,bl,0
32540,32546,VO,tl,0
32574,32590,FF,br,1
33599,33608,SV,tl,1
34416,34433,SV,br,0
34440,34450,BF,tl,0
34450,34464,VO,bl,0
34469,34475,VO,tr,0
34514,34532,FT,bl,0
34547,34560,FT,tl,0
34584,34593,FT,bl,0
34612,34625,FT,tl,1
35125,35150,SV,bl,0
35160,35170,BS,tr,0
35180,35184,VO,tl,0
35193,35217,BS,tr,0
35240,35261,FF,br,1
35819,35843,SV,br,1
36281,36290,SV,bl,0
36299,36307,FF,tr,1
36839,36866,SV,br,1
37306,37349,SV,br,1
39936,39956,SV,br,0
39966,39972,BS,tl,0
40017,40022,S,tr,1
40621,40654,SV,bl,1
41288,41312,SV,br,0
41322,41329,BF,tl,0
41351,41357,S,tl,1
42051,42080,SV,bl,1
43020,43031,SV,tl,1
43474,43494,SV,tr,0
43500,43509,FF,bl,0
43520,43527,FS,tr,1
44141,44152,SV,tl,1
44645,44665,SV,tr,0
44674,44682,BF,bl,1
45248,45263,SV,tl,1
45662,45673,SV,tl,1
48208,48223,SV,tl,0
48230,48239,BF,br,0
48248,48255,VO,tr,0
48273,48297,BF,bl,1
48878,48894,SV,tr,0
48899,48912,FF,bl,0
48922,48938,BF,tr,0
48964,48978,FT,bl,0
48995,49004,FT,tr,0
49017,49033,FT,bl,0
49046,49059,BF,tr,0
49062,49073,VO,br,1
49781,49813,SV,tl,0
49823,49830,BF,br,0
49841,49856,VO,tr,0
49866,49891,FF,bl,0
49988,50007,FT,tr,0
50038,50040,FF,bl,0
50067,50081,FT,tr,0
50100,50109,FT,bl,1
50814,50832,SV,tr,0
50842,50849,FF,bl,0
50855,50862,S,tr,1
51606,51618,SV,tl,0
51627,51637,FF,br,0
51638,51649,VO,tr,0
51660,51674,BS,bl,0
51690,51713,FT,tl,1
52369,52394,SV,tr,0
52402,52411,FF,bl,0
52440,52469,BF,bl,0
52564,52585,S,tr,1
53366,53391,SV,br,1
53918,53943,SV,br,0
53954,53960,BF,tl,1
54458,54473,SV,bl,0
54477,54490,FF,tr,0
54519,54532,FT,br,0
54539,54545,VO,tr,0
54575,54579,BS,br,0
54596,54618,FT,tl,1
55345,55351,SV,br,1
55665,55695,SV,br,0
55705,55715,BF,tl,1
56338,56347,SV,bl,0
56355,56365,BF,tr,1
56665,56689,SV,bl,1
57216,57240,SV,br,0
57246,57257,BF,tl,1
57797,57818,SV,bl,0
57825,57837,BF,tr,1
58467,58474,SV,br,0
58478,58491,FF,tl,0
58495,58505,VO,tl,1
59115,59133,SV,bl,1
59708,59734,SV,br,0
59743,59750,BF,tl,0
59764,59777,FT,br,0
59779,59792,VO,tr,0
59808,59828,BS,br,0
59845,59861,FF,tl,0
59872,59876,VO,tl,0
59882,59891,FF,tr,0
59898,59907,VO,tl,1
60852,60881,SV,bl,1
61793,61797,SV,br,0
61811,61822,FT,tl,1
62496,62516,SV,bl,0
62520,62533,FF,tr,0
62552,62572,FT,br,0
62593,62605,FT,tr,0
62622,62639,FT,br,0
62656,62671,FT,tr,0
62682,62704,FT,br,0
62719,62736,FT,tr,0
62747,62770,FT,br,0
62783,62807,FT,tr,1
63544,63557,SV,br,1
64426,64451,SV,bl,1
67077,67097,SV,br,0
67102,67113,BF,tl,0
67112,67122,VO,tl,0
67129,67146,BS,tr,0
67159,67168,VO,tr,1
67861,67872,SV,bl,0
67883,67887,FF,tr,1
68493,68518,SV,br,1
68825,68840,SV,br,0
68844,68857,BF,tl,0
68894,68921,BF,bl,0
68935,68946,FT,tl,0
68964,68982,FT,bl,0
69004,69016,FT,tl,0
69035,69058,FF,br,1
69855,69873,SV,bl,0
69880,69889,FF,tr,1
70816,70826,SV,tl,1
71607,71648,SV,bl,0
71657,71668,FT,tr,0
71681,71695,FT,bl,1
72605,72632,SV,br,1
72903,72924,SV,br,0
72927,72946,FT,tl,0
72964,72977,FT,br,0
72991,73009,FT,tl,0
73045,73065,FT,bl,0
73081,73102,FT,tl,1
73933,73949,SV,tr,0
73951,73966,FF,bl,0
73979,74015,FT,tl,0
74031,74045,BF,bl,0
74063,74076,FT,tl,0
74097,74107,FT,bl,0
74127,74136,VO,tr,1
74912,74925,SV,tl,1
75699,75718,SV,bl,0
75719,75734,BF,tr,0
75755,75762,FT,br,0
75771,75778,VO,tl,0
75804,75823,FT,br,0
75846,75861,S,tr,1
77154,77184,SV,tl,0
77194,77200,BF,br,0
77200,77210,VO,tr,0
77221,77238,FT,bl,1
77606,77637,SV,br,0
77645,77656,BF,tl,0
77661,77667,VO,tl,1
78171,78186,SV,bl,0
78193,78203,FT,tr,0
78211,78216,VO,tl,1
78718,78738,SV,br,0
78749,78759,FF,tl,0
78780,78790,FT,br,0
78800,78816,FT,tl,1
79325,79345,SV,bl,0
79353,79363,FF,tr,0
79411,79432,FT,bl,0
79443,79457,FT,tr,1
80181,80207,SV,br,0
80218,80223,BF,tl,1
80547,80573,SV,br,0
80584,80593,BF,tl,0
80611,80622,FT,br,0
80631,80647,FT,tl,0
80673,80687,FT,bl,1
82066,82077,SV,br,1
82526,82531,SV,bl,1
82700,82712,SV,bl,0
82726,82735,BF,tr,0
82738,82746,VO,tr,1
83231,83238,SV,br,1
83470,83484,SV,br,0
83500,83506,BF,tl,1
83994,83998,SV,bl,0
84008,84021,BF,tr,1
84642,84657,SV,br,0
84666,84674,BF,tl,1
84984,85004,SV,br,0
85014,85024,BF,tl,1
85347,85364,SV,br,0
85374,85383,BF,tl,1
86354,86372,SV,tl,0
86379,86388,FF,br,1
86633,86644,SV,tl,0
86657,86663,BF,br,1
87568,87576,SV,tr,0
87588,87597,FF,bl,0
87608,87628,FT,tl,0
87647,87659,FT,bl,0
87666,87671,VO,tl,1
88400,88427,SV,tl,1
88645,88675,SV,tl,0
88685,88694,FF,br,1
89690,89714,SV,tr,0
89723,89735,BF,bl,0
89735,89747,VO,tl,1
90555,90578,SV,tl,1
93906,93922,SV,tl,1
94351,94355,SV,tr,1
95055,95077,SV,tl,1
95574,95604,SV,tr,1
95871,95900,SV,tr,1
96396,96411,SV,tl,0
96418,96428,BF,br,1
97378,97399,SV,br,0
97409,97418,BS,tl,0
97444,97449,S,tl,1
98284,98310,SV,bl,0
98315,98329,BF,tr,0
98337,98340,VO,tl,0
98359,98375,VO,tl,0
98380,98388,VO,tl,0
98413,98418,FS,tl,0
98424,98434,VO,tl,1
99071,99101,SV,br,1
99656,99675,SV,bl,1
100016,100031,SV,bl,0
100035,100050,FF,tr,0
100058,100061,VO,tr,0
100070,100084,BS,tl,1
100761,100776,SV,br,0
100785,100793,BF,tl,0
100811,100822,FT,br,0
100836,100851,FT,tl,0
100875,100886,FT,br,1
101488,101523,SV,br,1
101961,101975,SV,bl,1
102395,102421,SV,br,0
102430,102436,BF,tl,0
102445,102450,VO,tl,0
102458,102463,VO,tr,0
102472,102477,VO,tr,1
102938,102959,SV,bl,0
102969,102977,FF,tr,0
103047,103068,S,bl,0
103078,103090,FF,tr,1
103125,103148,SV,tr,1
103672,103696,SV,br,0
103705,103714,FT,tl,0
103722,103725,VO,tl,0
103732,103745,BF,tr,0
103773,103786,FT,bl,1
104777,104815,SV,tl,0
104815,104830,BF,br,0
104829,104842,VO,tr,1
105483,105496,SV,tr,1
105775,105781,SV,tr,0
105791,105802,BF,bl,0
105815,105837,FT,tl,0
105853,105871,FT,bl,0
105920,105934,FT,tr,1
106736,106754,SV,tl,1
107001,107026,SV,tl,0
107037,107044,FF,br,1
107769,107791,SV,tr,1
108747,108768,SV,tl,0
108782,108787,BF,br,0
108807,108820,FT,tl,1
109922,109933,SV,tr,1
110268,110281,SV,tr,0
110286,110302,BF,bl,1
111117,111128,SV,tl,1
111700,111715,SV,tr,1
114006,114024,SV,tl,1
114334,114363,SV,tl,1
114919,114939,SV,tr,0
114948,114959,BF,bl,1
115428,115436,SV,tr,0
115447,115456,FF,bl,0
