start_frame,end_frame,action_name,position,score
72,78,SV,br,0
92,97,BF,tl,0
133,140,FF,br,0
164,169,FF,tl,0
199,205,FT,br,0
232,238,FT,tl,0
272,277,S,bl,0
298,305,BF,tr,0
340,343,BF,br,0
353,359,VO,tl,1
801,811,SV,bl,0
825,830,FF,tr,1
1160,1172,SV,bl,0
1195,1201,BF,tr,0
1227,1232,BT,bl,1
1802,1810,SV,br,1
2601,2611,SV,bl,0
2625,2633,BF,tr,0
2657,2663,FT,bl,1
3227,3235,SV,br,0
3249,3254,BF,tl,1
3706,3715,SV,bl,0
3727,3734,FT,tr,0
3750,3760,S,br,1
4946,4956,SV,br,0
4970,4975,BF,tr,0
5008,5015,BT,bl,1
6719,6727,SV,br,1
7272,7279,SV,bl,0
7291,7297,FT,tr,1
7753,7761,SV,bl,0
7773,7781,BF,tr,0
7791,7795,VO,br,1
8365,8373,SV,br,0
8386,8390,FF,tl,0
8402,8406,VO,bl,1
9033,9047,SV,tl,1
9809,9826,SV,tr,1
10588,10598,SV,tl,0
10612,10617,BF,br,0
10644,10649,FT,tl,0
10673,10681,FT,br,0
10700,10707,FT,tl,0
10736,10741,FF,br,1
11330,11339,SV,tr,1
12138,12154,SV,tl,0
12171,12180,FF,br,0
12207,12216,FF,tl,0
12237,12244,FT,br,0
12305,12316,FF,tl,0
12344,12349,FF,br,0
12370,12379,FT,tl,0
12405,12412,FT,br,1
13351,13358,SV,tr,0
13375,13379,FF,bl,0
13403,13413,FF,tr,0
13432,13439,BT,bl,0
13463,13472,BT,tr,0
13493,13500,BT,bl,1
14181,14189,SV,tl,1
14743,14752,SV,tr,1
15631,15639,SV,tl,0
15657,15663,FF,br,0
15681,15695,FT,tl,0
15723,15727,BF,br,0
15757,15766,FF,tl,0
15787,15791,BT,br,0
15820,15829,FF,tl,1
17062,17070,SV,tr,1
17508,17520,SV,tl,1
18303,18312,SV,tr,0
18329,18337,FF,bl,0
18358,18363,FF,tr,1
19232,19253,SV,tl,0
19269,19274,FF,br,0
19295,19301,VO,tl,0
19352,19361,FF,bl,0
19379,19387,VO,tl,0
19424,19432,S,br,1
20011,20019,SV,tr,1
20635,20642,SV,tl,1
21426,21434,SV,br,0
21454,21461,FT,tl,1
22046,22058,SV,bl,0
22073,22079,BF,tr,0
22112,22119,BF,bl,0
22142,22147,FT,tr,0
22181,22188,BF,bl,0
22211,22220,BT,tr,0
22279,22289,FT,br,0
22330,22335,S,tl,1
23117,23126,SV,br,0
23141,23149,FF,tl,1
23749,23757,SV,bl,0
23770,23776,FT,tr,0
23806,23813,BF,bl,0
23832,23839,BT,tr,0
23891,23901,FF,bl,1
24468,24474,SV,br,0
24487,24493,BT,tl,0
24560,24567,BF,bl,0
24587,24597,BT,tl,0
24623,24632,BT,bl,0
24654,24662,FF,tl,0
24666,24673,VO,br,0
24685,24693,FS,tl,0
24733,24741,BF,bl,0
24764,24770,BF,tr,1
28208,28221,SV,bl,0
28234,28240,FT,tr,0
28267,28275,FT,bl,0
28300,28305,FF,tr,0
28332,28339,BF,bl,0
28345,28352,VO,tl,1
29555,29566,SV,br,0
29580,29587,BF,tl,0
29592,29602,VO,bl,0
29628,29638,FF,tr,0
29666,29676,FF,br,0
29686,29693,VO,tl,0
29724,29732,BT,br,0
29766,29772,BF,tr,0
29800,29808,FT,br,1
30591,30601,SV,bl,1
31524,31532,SV,br,0
31545,31550,BF,tl,0
31553,31561,VO,bl,0
31597,31604,FF,tr,0
31631,31638,FT,br,1
32427,32440,SV,bl,1
33719,33727,SV,tl,0
33741,33745,BF,br,0
33780,33792,FF,tl,1
34795,34802,SV,tr,0
34818,34825,BF,bl,1
36323,36337,SV,tr,0
36351,36356,FF,bl,0
36403,36417,BF,bl,0
36438,36445,BF,tr,0
36463,36470,BF,bl,1
36899,36907,SV,tl,0
36923,36928,BF,br,0
36932,36942,VO,tr,1
37584,37597,SV,tr,1
38509,38525,SV,tl,1
39113,39126,SV,tr,0
39139,39146,FF,bl,1
39869,39882,SV,tl,0
39895,39902,FF,br,0
39909,39920,VO,tr,1
40568,40578,SV,tr,1
41072,41087,SV,tr,0
41104,41111,BF,bl,0
41129,41136,BT,tr,0
41156,41165,S,br,0
41178,41184,BT,tr,0
41201,41209,VO,br,1
42092,42103,SV,tl,0
42118,42122,FS,br,0
42201,42209,BF,tl,0
42234,42244,FF,br,1
42931,42941,SV,tr,0
42952,42959,BF,bl,0
42983,42993,FT,tr,0
43005,43015,VO,br,1
43632,43647,SV,tl,0
43659,43664,FS,br,1
44122,44132,SV,tl,1
44889,44898,SV,tr,0
44912,44918,BF,bl,0
44965,44969,VO,br,0
44975,44980,VO,tl,0
44985,44992,VO,br,0
45020,45034,BT,tr,0
45060,45070,BF,bl,0
45115,45123,BF,tr,0
45128,45134,VO,br,0
45141,45147,VO,tl,0
45192,45200,S,bl,1
46105,46117,SV,tl,0
46129,46133,BF,br,0
46152,46159,FS,tl,1
47458,47466,SV,tr,0
47484,47491,BF,bl,0
47511,47516,BF,tr,0
47541,47546,BF,bl,1
48343,48353,SV,tl,0
48370,48374,FS,br,0
48393,48402,VO,tr,1
49766,49775,SV,tr,1
50477,50487,SV,tl,0
50498,50503,BF,br,0
50530,50539,FT,tl,0
50566,50575,FF,br,0
50593,50598,FT,tl,0
50623,50631,FF,br,0
50649,50658,FT,tl,0
50679,50688,FF,br,0
50704,50713,FF,tl,1
51468,51482,SV,tr,0
51494,51501,FF,bl,0
51526,51533,BF,tr,0
51545,51553,VO,br,1
52385,52395,SV,tl,0
52410,52418,FF,br,1
53169,53179,SV,tr,0
53192,53197,FF,bl,0
53216,53224,FT,tl,0
53256,53263,FF,bl,0
53278,53287,VO,tl,0
53364,53373,S,bl,0
53389,53397,FT,tl,0
53441,53450,S,bl,0
53468,53474,FS,tl,0
53502,53512,BT,bl,1
55408,55417,SV,tl,0
55442,55447,BF,br,0
55473,55481,FF,tl,0
55502,55508,BT,br,0
55529,55535,S,tr,0
55543,55550,FS,bl,0
55579,55588,S,tl,1
56421,56431,SV,tr,0
56446,56454,FF,bl,1
57294,57306,SV,tl,0
57322,57330,FF,br,0
57351,57359,FT,tl,0
57384,57390,BF,br,0
57419,57425,FF,tl,0
57449,57456,BF,br,1
58321,58332,SV,tr,0
58353,58361,FS,bl,1
58894,58904,SV,tl,1
59390,59401,SV,tr,0
59415,59421,BF,bl,0
59445,59451,BF,tr,0
59474,59484,BF,bl,0
59513,59523,BF,tr,0
59546,59553,FT,bl,0
59614,59622,FS,tl,0
59652,59661,BF,bl,0
59662,59662,BF,bl,0
59688,59696,BF,tl,0
59719,59728,FT,bl,0
59793,59806,BT,tr,0
59889,59896,FS,br,0
59926,59934,BF,tr,0
59958,59966,FF,br,0
59992,60003,FF,tr,0
60025,60033,FT,br,0
60077,60084,FF,tl,1
62062,62071,SV,tr,0
62091,62099,FF,bl,1
62687,62688,SV,tl,0
62706,62712,FS,br,0
62777,62785,BF,tr,0
62811,62818,BF,bl,0
62831,62842,VO,tl,1
63477,63487,SV,tr,1
64668,64677,SV,br,0
64696,64703,FS,tl,1
65628,65640,SV,bl,1
66269,66279,SV,br,1
66802,66811,SV,bl,1
67058,67068,SV,bl,1
67861,67869,SV,br,0
67885,67891,BF,tl,0
67915,67921,BF,br,0
67949,67955,FF,tl,0
67958,67966,VO,bl,0
67993,68000,BF,tr,0
68027,68036,FF,br,0
68058,68066,FF,tr,1
68715,68725,SV,bl,0
68745,68750,BF,tr,0
68773,68779,FF,bl,0
68772,68779,FF,bl,0
68810,68814,BF,tr,0
68839,68844,FF,bl,0
68870,68877,BF,tr,0
68903,68911,BF,bl,0
68968,68979,BT,bl,1
72490,72498,SV,bl,0
72509,72516,FF,tr,0
72541,72549,FF,br,0
72563,72570,VO,tl,1
73502,73510,SV,br,0
73528,73533,BF,tl,0
73584,73594,FF,tr,0
73605,73613,FS,br,0
73637,73647,FT,tr,1
74792,74799,SV,bl,0
74813,74822,BF,tr,1
76294,76308,SV,tl,0
76325,76331,BF,br,1
77761,77774,SV,tr,0
77795,77800,BF,bl,0
77823,77830,BF,tr,0
77853,77861,FT,bl,0
77885,77893,VO,tl,0
77987,77995,FF,br,1
